group_type,serve_number,surface,derived_period,validation_fold,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
validation_fold,0,ALL,ALL,pre_validation,documented_return_unforced_error,immediate_return_unforced_error_d,10061,3347,573,583,1013150,0.009930415042195134
validation_fold,0,ALL,ALL,pre_validation,documented_return_unforced_error,immediate_return_unforced_error_e,8,8,8,8,1013150,7.896165424665647e-06
validation_fold,0,ALL,ALL,pre_validation,documented_return_unforced_error,immediate_return_unforced_error_n,10371,3394,574,573,1013150,0.010236391452400928
validation_fold,0,ALL,ALL,pre_validation,documented_return_unforced_error,immediate_return_unforced_error_w,5718,2717,504,491,1013150,0.005643784237279771
validation_fold,0,ALL,ALL,pre_validation,documented_return_unforced_error,immediate_return_unforced_error_x,1054,866,253,263,1013150,0.001040319794699699
validation_fold,0,ALL,ALL,pre_validation,return_terminal_not_documented,challenge_after_local_return,38,37,28,29,1013150,3.7506785767161823e-05
validation_fold,0,ALL,ALL,pre_validation,return_terminal_not_documented,local_return_without_terminal,26,25,18,24,1013150,2.5662537630163353e-05
validation_fold,0,ALL,ALL,pre_validation,return_terminal_not_documented,nonterminal_content_after_local_return,452210,4172,709,709,1013150,0.4463406208360065
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,ambiguous_initial_boundary,9069,1114,290,297,1013150,0.008951290529536594
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,inconsistent_parse_result,0,0,0,0,1013150,0.0
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,missing_service_prefix,1123,517,174,192,1013150,0.0011084242214874401
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,terminal_with_trailing_content,27,7,9,7,1013150,2.6649558308246557e-05
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,truncated_return_event,0,0,0,0,1013150,0.0
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,unsupported_error_terminal_form,97501,4077,705,705,1013150,0.09623550313379066
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,unsupported_initial_modifier,74,44,41,38,1013150,7.303953017815724e-05
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,unsupported_local_component_order,21655,3245,536,514,1013150,0.02137393278389182
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_ace,56151,4140,656,690,1013150,0.05542219809505009
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_double_fault,24265,4094,682,665,1013150,0.02395005675368899
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_incomplete_let,0,0,0,0,1013150,0.0
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_service_fault,274202,4186,709,708,1013150,0.2706430439717712
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_special_event,12941,1155,363,353,1013150,0.012773034595074766
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_unreturned_serve,8744,1665,369,401,1013150,0.008630508809159552
validation_fold,0,ALL,ALL,validation_2020,documented_return_winner,immediate_return_winner,367,133,86,87,42510,0.008633262761703129
validation_fold,0,ALL,ALL,validation_2020,documented_return_forced_error,immediate_return_forced_error,448,94,74,80,42510,0.010538696777228887
validation_fold,0,ALL,ALL,validation_2020,documented_return_unforced_error,immediate_return_unforced_error_!,16,15,13,13,42510,0.00037638202775817453
validation_fold,0,ALL,ALL,validation_2020,documented_return_unforced_error,immediate_return_unforced_error_d,498,153,93,97,42510,0.011714890613973183
validation_fold,0,ALL,ALL,validation_2020,documented_return_unforced_error,immediate_return_unforced_error_e,0,0,0,0,42510,0.0
validation_fold,0,ALL,ALL,validation_2020,documented_return_unforced_error,immediate_return_unforced_error_n,439,145,96,92,42510,0.010326981886614914
validation_fold,0,ALL,ALL,validation_2020,documented_return_unforced_error,immediate_return_unforced_error_w,256,119,77,75,42510,0.0060221124441307925
validation_fold,0,ALL,ALL,validation_2020,documented_return_unforced_error,immediate_return_unforced_error_x,44,36,26,31,42510,0.00103505057633498
validation_fold,0,ALL,ALL,validation_2020,return_terminal_not_documented,challenge_after_local_return,7,6,6,6,42510,0.00016466713714420136
validation_fold,0,ALL,ALL,validation_2020,return_terminal_not_documented,local_return_without_terminal,0,0,0,0,42510,0.0
validation_fold,0,ALL,ALL,validation_2020,return_terminal_not_documented,nonterminal_content_after_local_return,20339,168,113,113,42510,0.4784521289108445
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,ambiguous_initial_boundary,396,68,52,52,42510,0.00931545518701482
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,inconsistent_parse_result,0,0,0,0,42510,0.0
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,missing_service_prefix,105,3,5,5,42510,0.0024700070571630206
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,terminal_with_trailing_content,1,1,1,1,42510,2.3523876734885908e-05
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,truncated_return_event,0,0,0,0,42510,0.0
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,unsupported_error_terminal_form,4236,165,112,112,42510,0.09964714184897672
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,unsupported_initial_modifier,6,6,4,6,42510,0.00014114326040931546
validation_fold,0,ALL,ALL,validation_2020,unknown_initial_return,unsupported_local_component_order,296,109,75,78,42510,0.006963067513526229
validation_fold,0,ALL,ALL,validation_2020,ineligible_censored,censored_ace,2500,168,110,111,42510,0.058809691837214774
validation_fold,0,ALL,ALL,validation_2020,ineligible_censored,censored_double_fault,1045,164,108,108,42510,0.024582451187955774
validation_fold,0,ALL,ALL,validation_2020,ineligible_censored,censored_incomplete_let,0,0,0,0,42510,0.0
validation_fold,0,ALL,ALL,validation_2020,ineligible_censored,censored_service_fault,11067,168,112,113,42510,0.26033874382498234
validation_fold,0,ALL,ALL,validation_2020,ineligible_censored,censored_special_event,105,31,29,26,42510,0.0024700070571630206
validation_fold,0,ALL,ALL,validation_2020,ineligible_censored,censored_unreturned_serve,339,67,62,62,42510,0.007974594213126324
validation_fold,0,ALL,ALL,validation_2021,documented_return_winner,immediate_return_winner,763,293,122,117,83356,0.009153510245213301
validation_fold,0,ALL,ALL,validation_2021,documented_return_forced_error,immediate_return_forced_error,1365,254,116,124,83356,0.016375545851528384
validation_fold,0,ALL,ALL,validation_2021,documented_return_unforced_error,immediate_return_unforced_error_!,18,18,17,15,83356,0.00021594126397619847
validation_fold,0,ALL,ALL,validation_2021,documented_return_unforced_error,immediate_return_unforced_error_d,1026,317,137,147,83356,0.012308652046643312
validation_fold,0,ALL,ALL,validation_2021,documented_return_unforced_error,immediate_return_unforced_error_e,2,2,1,2,83356,2.3993473775133165e-05
validation_fold,0,ALL,ALL,validation_2021,documented_return_unforced_error,immediate_return_unforced_error_n,844,297,136,131,83356,0.010125245933106194
validation_fold,0,ALL,ALL,validation_2021,documented_return_unforced_error,immediate_return_unforced_error_w,447,237,109,111,83356,0.0053625413887422625
validation_fold,0,ALL,ALL,validation_2021,documented_return_unforced_error,immediate_return_unforced_error_x,89,70,55,48,83356,0.0010677095829934257
validation_fold,0,ALL,ALL,validation_2021,return_terminal_not_documented,challenge_after_local_return,3,3,3,3,83356,3.599021066269975e-05
validation_fold,0,ALL,ALL,validation_2021,return_terminal_not_documented,local_return_without_terminal,4,3,4,4,83356,4.798694755026633e-05
validation_fold,0,ALL,ALL,validation_2021,return_terminal_not_documented,nonterminal_content_after_local_return,39753,371,166,166,83356,0.4769062814914343
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,ambiguous_initial_boundary,963,159,81,86,83356,0.011552857622726618
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,inconsistent_parse_result,0,0,0,0,83356,0.0
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,missing_service_prefix,7,7,7,6,83356,8.397715821296607e-05
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,terminal_with_trailing_content,0,0,0,0,83356,0.0
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,truncated_return_event,0,0,0,0,83356,0.0
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,unsupported_error_terminal_form,7686,336,162,162,83356,0.09220691971783675
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,unsupported_initial_modifier,13,8,6,7,83356,0.00015595757953836556
validation_fold,0,ALL,ALL,validation_2021,unknown_initial_return,unsupported_local_component_order,576,249,109,113,83356,0.006910120447238351
validation_fold,0,ALL,ALL,validation_2021,ineligible_censored,censored_ace,4715,366,153,160,83356,0.05656461442487643
validation_fold,0,ALL,ALL,validation_2021,ineligible_censored,censored_double_fault,2018,360,156,146,83356,0.024209415039109363
validation_fold,0,ALL,ALL,validation_2021,ineligible_censored,censored_incomplete_let,0,0,0,0,83356,0.0
validation_fold,0,ALL,ALL,validation_2021,ineligible_censored,censored_service_fault,21959,371,166,165,83356,0.26343634531407456
validation_fold,0,ALL,ALL,validation_2021,ineligible_censored,censored_special_event,249,28,31,31,83356,0.002987187485004079
validation_fold,0,ALL,ALL,validation_2021,ineligible_censored,censored_unreturned_serve,856,111,81,86,83356,0.010269206775756995
validation_fold,0,ALL,ALL,validation_2022,documented_return_winner,immediate_return_winner,1244,490,164,161,144535,0.008606911820666275
validation_fold,0,ALL,ALL,validation_2022,documented_return_forced_error,immediate_return_forced_error,982,236,127,139,144535,0.00679420209637804
validation_fold,0,ALL,ALL,validation_2022,documented_return_unforced_error,immediate_return_unforced_error_!,43,41,37,35,144535,0.00029750579444425224
validation_fold,0,ALL,ALL,validation_2022,documented_return_unforced_error,immediate_return_unforced_error_d,1706,545,180,180,144535,0.011803369426090567
validation_fold,0,ALL,ALL,validation_2022,documented_return_unforced_error,immediate_return_unforced_error_e,0,0,0,0,144535,0.0
validation_fold,0,ALL,ALL,validation_2022,documented_return_unforced_error,immediate_return_unforced_error_n,1419,493,179,167,144535,0.009817691216660325
validation_fold,0,ALL,ALL,validation_2022,documented_return_unforced_error,immediate_return_unforced_error_w,822,407,156,149,144535,0.005687203791469194
validation_fold,0,ALL,ALL,validation_2022,documented_return_unforced_error,immediate_return_unforced_error_x,135,117,65,75,144535,0.0009340298197668385
validation_fold,0,ALL,ALL,validation_2022,return_terminal_not_documented,challenge_after_local_return,5,5,5,5,144535,3.459369702840143e-05
validation_fold,0,ALL,ALL,validation_2022,return_terminal_not_documented,local_return_without_terminal,3,3,3,3,144535,2.0756218217040855e-05
validation_fold,0,ALL,ALL,validation_2022,return_terminal_not_documented,nonterminal_content_after_local_return,69457,646,220,220,144535,0.48055488290033554
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,ambiguous_initial_boundary,2230,283,115,121,144535,0.015428788874667036
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,inconsistent_parse_result,0,0,0,0,144535,0.0
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,missing_service_prefix,126,23,23,21,144535,0.0008717611651157159
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,terminal_with_trailing_content,0,0,0,0,144535,0.0
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,truncated_return_event,0,0,0,0,144535,0.0
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,unsupported_error_terminal_form,11793,502,210,209,144535,0.0815926938111876
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,unsupported_initial_modifier,48,21,15,21,144535,0.0003320994914726537
validation_fold,0,ALL,ALL,validation_2022,unknown_initial_return,unsupported_local_component_order,899,400,144,133,144535,0.006219946725706576
validation_fold,0,ALL,ALL,validation_2022,ineligible_censored,censored_ace,8274,643,202,209,144535,0.05724564984259868
validation_fold,0,ALL,ALL,validation_2022,ineligible_censored,censored_double_fault,3496,625,204,199,144535,0.024187912962258275
validation_fold,0,ALL,ALL,validation_2022,ineligible_censored,censored_incomplete_let,0,0,0,0,144535,0.0
validation_fold,0,ALL,ALL,validation_2022,ineligible_censored,censored_service_fault,37589,646,220,219,144535,0.26006849552011624
validation_fold,0,ALL,ALL,validation_2022,ineligible_censored,censored_special_event,69,41,29,31,144535,0.0004773930189919397
validation_fold,0,ALL,ALL,validation_2022,ineligible_censored,censored_unreturned_serve,4195,406,127,126,144535,0.029024111806828796
validation_fold,0,ALL,ALL,validation_2023,documented_return_winner,immediate_return_winner,1264,483,149,137,143312,0.00881991738305236
validation_fold,0,ALL,ALL,validation_2023,documented_return_forced_error,immediate_return_forced_error,479,173,84,101,143312,0.0033423579323434184
validation_fold,0,ALL,ALL,validation_2023,documented_return_unforced_error,immediate_return_unforced_error_!,25,22,21,21,143312,0.00017444456849391538
validation_fold,0,ALL,ALL,validation_2023,documented_return_unforced_error,immediate_return_unforced_error_d,1867,544,154,157,143312,0.0130275203751256
validation_fold,0,ALL,ALL,validation_2023,documented_return_unforced_error,immediate_return_unforced_error_e,0,0,0,0,143312,0.0
validation_fold,0,ALL,ALL,validation_2023,documented_return_unforced_error,immediate_return_unforced_error_n,1468,500,145,154,143312,0.01024338506196271
validation_fold,0,ALL,ALL,validation_2023,documented_return_unforced_error,immediate_return_unforced_error_w,820,419,140,137,143312,0.005721781846600424
validation_fold,0,ALL,ALL,validation_2023,documented_return_unforced_error,immediate_return_unforced_error_x,158,124,64,69,143312,0.001102489672881545
validation_fold,0,ALL,ALL,validation_2023,return_terminal_not_documented,challenge_after_local_return,8,8,8,7,143312,5.582226191805292e-05
validation_fold,0,ALL,ALL,validation_2023,return_terminal_not_documented,local_return_without_terminal,3,3,3,3,143312,2.0933348219269843e-05
validation_fold,0,ALL,ALL,validation_2023,return_terminal_not_documented,nonterminal_content_after_local_return,68524,620,178,178,143312,0.4781455844590823
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,ambiguous_initial_boundary,1105,239,99,100,143312,0.007710449927431059
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,inconsistent_parse_result,0,0,0,0,143312,0.0
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,missing_service_prefix,43,18,17,15,143312,0.00030004465780953445
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,terminal_with_trailing_content,58,4,6,6,143312,0.0004047113989058837
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,truncated_return_event,1,1,1,1,143312,6.977782739756615e-06
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,unsupported_error_terminal_form,12712,501,174,174,143312,0.08870157418778608
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,unsupported_initial_modifier,18,7,6,8,143312,0.00012560008931561907
validation_fold,0,ALL,ALL,validation_2023,unknown_initial_return,unsupported_local_component_order,1001,426,135,137,143312,0.006984760522496371
validation_fold,0,ALL,ALL,validation_2023,ineligible_censored,censored_ace,8609,619,170,176,143312,0.0600717316065647
validation_fold,0,ALL,ALL,validation_2023,ineligible_censored,censored_double_fault,3558,605,168,166,143312,0.024826950988054035
validation_fold,0,ALL,ALL,validation_2023,ineligible_censored,censored_incomplete_let,0,0,0,0,143312,0.0
validation_fold,0,ALL,ALL,validation_2023,ineligible_censored,censored_service_fault,37923,620,178,178,143312,0.26461845483979013
validation_fold,0,ALL,ALL,validation_2023,ineligible_censored,censored_special_event,209,44,31,36,143312,0.0014583565926091326
validation_fold,0,ALL,ALL,validation_2023,ineligible_censored,censored_unreturned_serve,3459,385,129,136,143312,0.02413615049681813
