group_type,serve_number,surface,derived_period,validation_fold,classification_state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion_of_denominator
serve_number,1,ALL,ALL,ALL,unknown_initial_return,truncated_return_event,0,0,0,0,1035760,0.0
serve_number,1,ALL,ALL,ALL,unknown_initial_return,unsupported_error_terminal_form,117720,5558,862,860,1035760,0.11365567312891017
serve_number,1,ALL,ALL,ALL,unknown_initial_return,unsupported_initial_modifier,129,69,42,52,1035760,0.0001245462269251564
serve_number,1,ALL,ALL,ALL,unknown_initial_return,unsupported_local_component_order,8997,2678,493,486,1035760,0.008686375222059164
serve_number,2,ALL,ALL,ALL,unknown_initial_return,ambiguous_initial_boundary,1203,516,188,215,391103,0.003075916063031989
serve_number,2,ALL,ALL,ALL,unknown_initial_return,inconsistent_parse_result,0,0,0,0,391103,0.0
serve_number,2,ALL,ALL,ALL,unknown_initial_return,missing_service_prefix,145,109,79,81,391103,0.00037074632513685654
serve_number,2,ALL,ALL,ALL,unknown_initial_return,terminal_with_trailing_content,18,7,9,10,391103,4.6023681741127014e-05
serve_number,2,ALL,ALL,ALL,unknown_initial_return,truncated_return_event,1,1,1,1,391103,2.55687120784039e-06
serve_number,2,ALL,ALL,ALL,unknown_initial_return,unsupported_error_terminal_form,16208,4266,613,675,391103,0.04144176853667704
serve_number,2,ALL,ALL,ALL,unknown_initial_return,unsupported_initial_modifier,30,25,25,25,391103,7.670613623521169e-05
serve_number,2,ALL,ALL,ALL,unknown_initial_return,unsupported_local_component_order,15430,3669,581,553,391103,0.03945252273697722
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_ace,77442,5924,795,840,1035760,0.07476828608944157
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_double_fault,0,0,0,0,1035760,0.0
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,1035760,0.0
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_service_fault,382154,5990,869,869,1035760,0.3689599907314436
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_special_event,13573,1299,400,403,1035760,0.013104387116706574
serve_number,1,ALL,ALL,ALL,ineligible_censored,censored_unreturned_serve,15810,2606,455,498,1035760,0.015264153858036611
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_ace,2807,1929,370,422,391103,0.007177137480407975
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_double_fault,34382,5848,830,806,391103,0.08791034586796828
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_incomplete_let,0,0,0,0,391103,0.0
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_service_fault,586,406,170,187,391103,0.0014983265277944684
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_special_event,0,0,0,0,391103,0.0
serve_number,2,ALL,ALL,ALL,ineligible_censored,censored_unreturned_serve,1783,777,223,250,391103,0.0045589013635794155
surface,0,Hard,ALL,ALL,documented_return_winner,immediate_return_winner,10877,3208,528,499,896425,0.012133753520930362
surface,0,Hard,ALL,ALL,documented_return_forced_error,immediate_return_forced_error,10941,2234,478,504,896425,0.012205148227682181
surface,0,Hard,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_!,229,209,115,111,896425,0.00025545918509635495
surface,0,Hard,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_d,9572,3102,535,542,896425,0.010677970828569038
surface,0,Hard,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_e,6,6,6,6,896425,6.693253757983099e-06
surface,0,Hard,ALL,ALL,documented_return_unforced_error,immediate_return_unforced_error_n,9086,3104,532,518,896425,0.010135817274172407
