column,character_display,character_escaped,unicode_code_point,unicode_name,unicode_category,is_ascii,is_whitespace,is_control,occurrence_count,rows_containing_count,rows_containing_denominator_non_null,rows_containing_proportion_non_null,initial_count,initial_denominator_original_length_gt_zero,initial_proportion_original_length_gt_zero,final_count,final_denominator_original_length_gt_zero,final_proportion_original_length_gt_zero
first_serve,S,S,U+0053,LATIN CAPITAL LETTER S,Lu,True,False,False,10488,10488,1280408,0.00819113907442003,10488,1280408,0.00819113907442003,10488,1280408,0.00819113907442003
first_serve,V,V,U+0056,LATIN CAPITAL LETTER V,Lu,True,False,False,31,31,1280408,2.4211032733316257e-05,30,1280408,2.3430031677402828e-05,31,1280408,2.4211032733316257e-05
first_serve,W,W,U+0057,LATIN CAPITAL LETTER W,Lu,True,False,False,2,2,1280408,1.5620021118268551e-06,0,1280408,0.0,2,1280408,1.5620021118268551e-06
first_serve,^,^,U+005E,CIRCUMFLEX ACCENT,Sk,True,False,False,11111,11023,1280408,0.008608974639333713,0,1280408,0.0,3,1280408,2.3430031677402827e-06
first_serve,_,_,U+005F,LOW LINE,Pc,True,False,False,2,1,1280408,7.810010559134276e-07,0,1280408,0.0,0,1280408,0.0
first_serve,`,`,U+0060,GRAVE ACCENT,Sk,True,False,False,1,1,1280408,7.810010559134276e-07,0,1280408,0.0,1,1280408,7.810010559134276e-07
first_serve,b,b,U+0062,LATIN SMALL LETTER B,Ll,True,False,False,837225,400453,1280408,0.31275421584369983,2,1280408,1.5620021118268551e-06,13,1280408,1.0153013726874559e-05
first_serve,c,c,U+0063,LATIN SMALL LETTER C,Ll,True,False,False,42211,40566,1280408,0.0316820888341841,40547,1280408,0.03166724981412175,2,1280408,1.5620021118268551e-06
first_serve,d,d,U+0064,LATIN SMALL LETTER D,Ll,True,False,False,295857,295840,1280408,0.23105135238142843,59,1280408,4.6079062298892225e-05,159683,1280408,0.12471259161142385
first_serve,e,e,U+0065,LATIN SMALL LETTER E,Ll,True,False,False,1235,1235,1280408,0.000964536304053083,164,1280408,0.00012808417316980214,1068,1280408,0.0008341091277155407
first_serve,f,f,U+0066,LATIN SMALL LETTER F,Ll,True,False,False,1147428,485941,1280408,0.3795204341116269,10,1280408,7.810010559134276e-06,8,1280408,6.2480084473074204e-06
first_serve,g,g,U+0067,LATIN SMALL LETTER G,Ll,True,False,False,1058,1058,1280408,0.0008262991171564064,628,1280408,0.0004904686631136326,1056,1280408,0.0008247371150445795
first_serve,h,h,U+0068,LATIN SMALL LETTER H,Ll,True,False,False,8357,8134,1280408,0.00635266258879982,0,1280408,0.0,0,1280408,0.0
first_serve,i,i,U+0069,LATIN SMALL LETTER I,Ll,True,False,False,8617,8407,1280408,0.006565875877064186,0,1280408,0.0,0,1280408,0.0
first_serve,j,j,U+006A,LATIN SMALL LETTER J,Ll,True,False,False,6256,6244,1280408,0.004876570593123442,0,1280408,0.0,0,1280408,0.0
first_serve,k,k,U+006B,LATIN SMALL LETTER K,Ll,True,False,False,846,839,1280408,0.0006552598859113658,0,1280408,0.0,0,1280408,0.0
first_serve,l,l,U+006C,LATIN SMALL LETTER L,Ll,True,False,False,16917,16277,1280408,0.012712354187102861,0,1280408,0.0,0,1280408,0.0
first_serve,m,m,U+006D,LATIN SMALL LETTER M,Ll,True,False,False,29367,28217,1280408,0.022037506794709186,0,1280408,0.0,4,1280408,3.1240042236537102e-06
first_serve,n,n,U+006E,LATIN SMALL LETTER N,Ll,True,False,False,378667,378659,1280408,0.2957330788311226,454,1280408,0.00035457447938469613,198379,1280408,0.15493420847104986
first_serve,o,o,U+006F,LATIN SMALL LETTER O,Ll,True,False,False,29458,27744,1280408,0.021668093295262134,2,1280408,1.5620021118268551e-06,0,1280408,0.0
first_serve,p,p,U+0070,LATIN SMALL LETTER P,Ll,True,False,False,2187,2176,1280408,0.0016994582976676185,0,1280408,0.0,1,1280408,7.810010559134276e-07
first_serve,q,q,U+0071,LATIN SMALL LETTER Q,Ll,True,False,False,1958,1695,1280408,0.0013237967897732597,4,1280408,3.1240042236537102e-06,2,1280408,1.5620021118268551e-06
first_serve,r,r,U+0072,LATIN SMALL LETTER R,Ll,True,False,False,93371,85572,1280408,0.06683182235662383,1,1280408,7.810010559134276e-07,0,1280408,0.0
first_serve,s,s,U+0073,LATIN SMALL LETTER S,Ll,True,False,False,272980,206427,1280408,0.16121970496904112,3,1280408,2.3430031677402827e-06,7,1280408,5.467007391393993e-06
first_serve,t,t,U+0074,LATIN SMALL LETTER T,Ll,True,False,False,1281,1255,1280408,0.0009801563251713517,0,1280408,0.0,0,1280408,0.0
first_serve,u,u,U+0075,LATIN SMALL LETTER U,Ll,True,False,False,16755,16426,1280408,0.012828723344433962,1,1280408,7.810010559134276e-07,0,1280408,0.0
first_serve,v,v,U+0076,LATIN SMALL LETTER V,Ll,True,False,False,54470,50824,1280408,0.03969359766574405,0,1280408,0.0,1,1280408,7.810010559134276e-07
first_serve,w,w,U+0077,LATIN SMALL LETTER W,Ll,True,False,False,192860,192858,1280408,0.15062230164135182,27,1280408,2.1087028509662546e-05,93403,1280408,0.07294784162548187
first_serve,x,x,U+0078,LATIN SMALL LETTER X,Ll,True,False,False,42931,42931,1280408,0.03352915633141936,11,1280408,8.591011615047704e-06,25252,1280408,0.019721838663925875
first_serve,y,y,U+0079,LATIN SMALL LETTER Y,Ll,True,False,False,16464,15970,1280408,0.01247258686293744,1,1280408,7.810010559134276e-07,0,1280408,0.0
first_serve,z,z,U+007A,LATIN SMALL LETTER Z,Ll,True,False,False,57654,53068,1280408,0.04144616403521378,0,1280408,0.0,0,1280408,0.0
second_serve,<SPACE>,\u0020,U+0020,SPACE,Zs,True,True,False,78,45,481543,9.344959847822521e-05,35,481543,7.26830210386196e-05,43,481543,8.929628299030409e-05
second_serve,!,!,U+0021,EXCLAMATION MARK,Po,True,False,False,4731,4720,481543,0.009801824551493844,0,481543,0.0,30,481543,6.22997323188168e-05
second_serve,#,#,U+0023,NUMBER SIGN,Po,True,False,False,113503,113503,481543,0.23570688391275546,0,481543,0.0,113408,481543,0.2355096014270792
second_serve,&,&,U+0026,AMPERSAND,Po,True,False,False,1,1,481543,2.07665774396056e-06,0,481543,0.0,0,481543,0.0
second_serve,(,(,U+0028,LEFT PARENTHESIS,Ps,True,False,False,1,1,481543,2.07665774396056e-06,0,481543,0.0,0,481543,0.0
second_serve,),),U+0029,RIGHT PARENTHESIS,Pe,True,False,False,2,1,481543,2.07665774396056e-06,0,481543,0.0,1,481543,2.07665774396056e-06
second_serve,*,*,U+002A,ASTERISK,Po,True,False,False,116022,116015,481543,0.2409234481655844,0,481543,0.0,116007,481543,0.2409068349036327
second_serve,+,+,U+002B,PLUS SIGN,Sm,True,False,False,112367,110535,481543,0.2295433637286805,0,481543,0.0,4,481543,8.30663097584224e-06
second_serve,-,-,U+002D,HYPHEN-MINUS,Pd,True,False,False,16656,15069,481543,0.03129315554374168,0,481543,0.0,0,481543,0.0
second_serve,.,.,U+002E,FULL STOP,Po,True,False,False,1,1,481543,2.07665774396056e-06,1,481543,2.07665774396056e-06,1,481543,2.07665774396056e-06
second_serve,0,0,U+0030,DIGIT ZERO,Nd,True,False,False,149,149,481543,0.00030942200385012346,146,481543,0.00030319203061824175,0,481543,0.0
second_serve,1,1,U+0031,DIGIT ONE,Nd,True,False,False,577662,286446,481543,0.5948503041265266,1,481543,2.07665774396056e-06,14,481543,2.907320841544784e-05
second_serve,2,2,U+0032,DIGIT TWO,Nd,True,False,False,623819,297386,481543,0.6175689398454551,1,481543,2.07665774396056e-06,5,481543,1.0383288719802801e-05
second_serve,3,3,U+0033,DIGIT THREE,Nd,True,False,False,832331,316317,481543,0.6568821475963725,16,481543,3.322652390336896e-05,20,481543,4.1533154879211205e-05
second_serve,4,4,U+0034,DIGIT FOUR,Nd,True,False,False,176757,176757,481543,0.36706379284923674,174723,481543,0.36283987099802095,1,481543,2.07665774396056e-06
second_serve,5,5,U+0035,DIGIT FIVE,Nd,True,False,False,165843,165842,481543,0.3443970735739072,163552,481543,0.3396415273402375,0,481543,0.0
second_serve,6,6,U+0036,DIGIT SIX,Nd,True,False,False,138593,138593,481543,0.2878102267087259,136890,481543,0.2842736785707611,0,481543,0.0
second_serve,7,7,U+0037,DIGIT SEVEN,Nd,True,False,False,114978,93797,481543,0.19478426641026866,3,481543,6.2299732318816805e-06,2,481543,4.15331548792112e-06
second_serve,8,8,U+0038,DIGIT EIGHT,Nd,True,False,False,290628,193008,481543,0.40081155784633976,1,481543,2.07665774396056e-06,5,481543,1.0383288719802801e-05
second_serve,9,9,U+0039,DIGIT NINE,Nd,True,False,False,183234,115294,481543,0.23942617793218882,0,481543,0.0,5,481543,1.0383288719802801e-05
second_serve,;,;,U+003B,SEMICOLON,Po,True,False,False,14464,14147,481543,0.029378477103810044,1,481543,2.07665774396056e-06,314,481543,0.0006520705316036159
second_serve,=,=,U+003D,EQUALS SIGN,Sm,True,False,False,3119,3031,481543,0.006294349621944458,0,481543,0.0,0,481543,0.0
second_serve,@,@,U+0040,COMMERCIAL AT,Po,True,False,False,207959,207956,481543,0.43185343780306223,0,481543,0.0,207836,481543,0.43160423887378696
second_serve,A,A,U+0041,LATIN CAPITAL LETTER A,Lu,True,False,False,1,1,481543,2.07665774396056e-06,0,481543,0.0,0,481543,0.0
second_serve,C,C,U+0043,LATIN CAPITAL LETTER C,Lu,True,False,False,143,143,481543,0.0002969620573863601,0,481543,0.0,143,481543,0.0002969620573863601
second_serve,F,F,U+0046,LATIN CAPITAL LETTER F,Lu,True,False,False,1,1,481543,2.07665774396056e-06,1,481543,2.07665774396056e-06,0,481543,0.0
second_serve,M,M,U+004D,LATIN CAPITAL LETTER M,Lu,True,False,False,2,2,481543,4.15331548792112e-06,1,481543,2.07665774396056e-06,1,481543,2.07665774396056e-06
second_serve,P,P,U+0050,LATIN CAPITAL LETTER P,Lu,True,False,False,2,1,481543,2.07665774396056e-06,1,481543,2.07665774396056e-06,0,481543,0.0
second_serve,S,S,U+0053,LATIN CAPITAL LETTER S,Lu,True,False,False,1,1,481543,2.07665774396056e-06,0,481543,0.0,0,481543,0.0
second_serve,T,T,U+0054,LATIN CAPITAL LETTER T,Lu,True,False,False,1,1,481543,2.07665774396056e-06,1,481543,2.07665774396056e-06,0,481543,0.0
second_serve,^,^,U+005E,CIRCUMFLEX ACCENT,Sk,True,False,False,5982,5944,481543,0.01234365363010157,0,481543,0.0,1,481543,2.07665774396056e-06
second_serve,a,a,U+0061,LATIN SMALL LETTER A,Ll,True,False,False,5,2,481543,4.15331548792112e-06,0,481543,0.0,0,481543,0.0
second_serve,b,b,U+0062,LATIN SMALL LETTER B,Ll,True,False,False,819148,336001,481543,0.6977590786284922,2,481543,4.15331548792112e-06,2,481543,4.15331548792112e-06
second_serve,c,c,U+0063,LATIN SMALL LETTER C,Ll,True,False,False,6173,6036,481543,0.012534706142545942,6028,481543,0.012518092880594257,1,481543,2.07665774396056e-06
second_serve,d,d,U+0064,LATIN SMALL LETTER D,Ll,True,False,False,114237,114213,481543,0.23718131091096745,9,481543,1.868991969564504e-05,18698,481543,0.03882934649657455
second_serve,e,e,U+0065,LATIN SMALL LETTER E,Ll,True,False,False,126,120,481543,0.0002491989292752672,4,481543,8.30663097584224e-06,40,481543,8.306630975842241e-05
second_serve,f,f,U+0066,LATIN SMALL LETTER F,Ll,True,False,False,887804,328639,481543,0.6824707243174545,5,481543,1.0383288719802801e-05,0,481543,0.0
second_serve,g,g,U+0067,LATIN SMALL LETTER G,Ll,True,False,False,117,111,481543,0.00023050900957962217,67,481543,0.00013913606884535752,110,481543,0.0002284323518356616
second_serve,h,h,U+0068,LATIN SMALL LETTER H,Ll,True,False,False,4358,4229,481543,0.008782185599209208,0,481543,0.0,0,481543,0.0
second_serve,i,i,U+0069,LATIN SMALL LETTER I,Ll,True,False,False,4868,4730,481543,0.00982259112893345,0,481543,0.0,0,481543,0.0
second_serve,j,j,U+006A,LATIN SMALL LETTER J,Ll,True,False,False,1810,1806,481543,0.0037504438855927714,0,481543,0.0,0,481543,0.0
second_serve,k,k,U+006B,LATIN SMALL LETTER K,Ll,True,False,False,346,345,481543,0.0007164469216663932,0,481543,0.0,0,481543,0.0
second_serve,l,l,U+006C,LATIN SMALL LETTER L,Ll,True,False,False,8087,7789,481543,0.016175087167708803,0,481543,0.0,0,481543,0.0
second_serve,m,m,U+006D,LATIN SMALL LETTER M,Ll,True,False,False,13586,13069,481543,0.027139840055820562,0,481543,0.0,0,481543,0.0
second_serve,n,n,U+006E,LATIN SMALL LETTER N,Ll,True,False,False,145380,145357,481543,0.30185673968887516,47,481543,9.760291396614633e-05,19004,481543,0.039464803766226485
second_serve,o,o,U+006F,LATIN SMALL LETTER O,Ll,True,False,False,12674,11957,481543,0.024830596644536417,1,481543,2.07665774396056e-06,1,481543,2.07665774396056e-06
second_serve,p,p,U+0070,LATIN SMALL LETTER P,Ll,True,False,False,1317,1308,481543,0.0027162683291004127,0,481543,0.0,0,481543,0.0
second_serve,q,q,U+0071,LATIN SMALL LETTER Q,Ll,True,False,False,815,698,481543,0.0014495071052844709,0,481543,0.0,0,481543,0.0
second_serve,r,r,U+0072,LATIN SMALL LETTER R,Ll,True,False,False,44423,40357,481543,0.08380767657301633,1,481543,2.07665774396056e-06,0,481543,0.0
second_serve,s,s,U+0073,LATIN SMALL LETTER S,Ll,True,False,False,180347,121709,481543,0.2527479373596958,0,481543,0.0,0,481543,0.0
second_serve,t,t,U+0074,LATIN SMALL LETTER T,Ll,True,False,False,774,759,481543,0.0015761832276660651,1,481543,2.07665774396056e-06,0,481543,0.0
second_serve,u,u,U+0075,LATIN SMALL LETTER U,Ll,True,False,False,9312,9116,481543,0.018930811993944467,0,481543,0.0,0,481543,0.0
second_serve,v,v,U+0076,LATIN SMALL LETTER V,Ll,True,False,False,28337,26457,481543,0.05494213393196454,0,481543,0.0,2,481543,4.15331548792112e-06
second_serve,w,w,U+0077,LATIN SMALL LETTER W,Ll,True,False,False,75780,75773,481543,0.1573545872331235,3,481543,6.2299732318816805e-06,4890,481543,0.01015485636796714
second_serve,x,x,U+0078,LATIN SMALL LETTER X,Ll,True,False,False,11977,11977,481543,0.024872129799415627,1,481543,2.07665774396056e-06,953,481543,0.001979054829994414
second_serve,y,y,U+0079,LATIN SMALL LETTER Y,Ll,True,False,False,11946,11590,481543,0.024068463252502892,0,481543,0.0,0,481543,0.0
second_serve,z,z,U+007A,LATIN SMALL LETTER Z,Ll,True,False,False,33831,30867,481543,0.0641001945828306,0,481543,0.0,1,481543,2.07665774396056e-06
