dimension,serve_number,direction,surface,derived_period,validation_fold,analysis_state,attempts,matches,servers,explicit_tagged_attempts,eligible_attempts,unknown_attempts,censored_attempts,not_explicitly_tagged_attempts,share_of_attempts,coverage_denominator,coverage_rate
serve_number_direction_state,2,unknown,ALL,ALL,ALL,ineligible_censored,37,29,27,0,0,0,37,0,2.5931010895930442e-05,37,0.0
surface_state,0,ALL,Hard,ALL,ALL,positive_tagged,73399,3274,520,73399,73399,0,0,0,0.0514408180743351,73399,1.0
surface_state,0,ALL,Hard,ALL,ALL,unknown,484068,3848,643,11,0,484068,0,0,0.339253313037061,484068,0.0
surface_state,0,ALL,Hard,ALL,ALL,ineligible_censored,338958,3849,643,0,0,0,338958,0,0.2375546916557511,338958,0.0
surface_state,0,ALL,Clay,ALL,ALL,positive_tagged,14097,1119,358,14097,14097,0,0,0,0.0098797151513495,14097,1.0
surface_state,0,ALL,Clay,ALL,ALL,unknown,203652,1439,498,2,0,203652,0,0,0.14272708732373046,203652,0.0
surface_state,0,ALL,Clay,ALL,ALL,ineligible_censored,115129,1439,499,0,0,0,115129,0,0.0806867933361507,115129,0.0
surface_state,0,ALL,Grass,ALL,ALL,positive_tagged,43467,663,283,43467,43467,0,0,0,0.030463331097659693,43467,1.0
surface_state,0,ALL,Grass,ALL,ALL,unknown,79643,686,304,5,0,79643,0,0,0.05581685137255644,79643,0.0
surface_state,0,ALL,Grass,ALL,ALL,ineligible_censored,74450,705,316,0,0,0,74450,0,0.05217739895140599,74450,0.0
derived_period_state,0,ALL,ALL,to_2009,ALL,positive_tagged,95247,1827,319,95247,95247,0,0,0,0.06675272958931586,95247,1.0
derived_period_state,0,ALL,ALL,to_2009,ALL,unknown,229294,1936,349,8,0,229294,0,0,0.16069797871274258,229294,0.0
derived_period_state,0,ALL,ALL,to_2009,ALL,ineligible_censored,197942,1956,357,0,0,0,197942,0,0.1387253015881693,197942,0.0
derived_period_state,0,ALL,ALL,2010s,ALL,positive_tagged,19058,1730,299,19058,19058,0,0,0,0.013356573125801146,19058,1.0
derived_period_state,0,ALL,ALL,2010s,ALL,unknown,293248,2232,412,4,0,293248,0,0,0.2055193806272922,293248,0.0
derived_period_state,0,ALL,ALL,2010s,ALL,ineligible_censored,178361,2232,412,0,0,0,178361,0,0.1250021901191635,178361,0.0
derived_period_state,0,ALL,ALL,2020s,ALL,positive_tagged,16658,1499,246,16658,16658,0,0,0,0.01167456160822728,16658,1.0
derived_period_state,0,ALL,ALL,2020s,ALL,unknown,244821,1805,332,6,0,244821,0,0,0.17157989239331317,244821,0.0
derived_period_state,0,ALL,ALL,2020s,ALL,ineligible_censored,152234,1805,332,0,0,0,152234,0,0.106691392235975,152234,0.0
