server_player,surface,derived_period,direction_code,direction_label,tactically_actionable,points,matches,server_wins,server_win_rate,first_date,last_date
Aljaz Bedene,Hard,2010s,5,body,True,153,10,72,0.47058823529411764,2014-01-03,2019-10-25
Aljaz Bedene,Hard,2010s,6,t,True,107,10,45,0.4205607476635514,2014-01-03,2019-10-25
Aljaz Bedene,Clay,2010s,4,wide,True,286,16,146,0.5104895104895105,2016-04-13,2019-09-13
Aljaz Bedene,Clay,2010s,5,body,True,83,16,30,0.3614457831325301,2016-04-13,2019-09-13
Aljaz Bedene,Clay,2010s,6,t,True,180,16,95,0.5277777777777778,2016-04-13,2019-09-13
Aljaz Bedene,Grass,2010s,4,wide,True,10,1,7,0.7,2018-06-19,2018-06-19
Aljaz Bedene,Grass,2010s,5,body,True,4,1,1,0.25,2018-06-19,2018-06-19
Aljaz Bedene,Grass,2010s,6,t,True,10,1,4,0.4,2018-06-19,2018-06-19
Altug Celikbilek,Hard,2010s,4,wide,True,14,1,5,0.35714285714285715,2017-09-15,2017-09-15
Altug Celikbilek,Hard,2010s,5,body,True,10,1,3,0.3,2017-09-15,2017-09-15
Altug Celikbilek,Hard,2010s,6,t,True,4,1,2,0.5,2017-09-15,2017-09-15
Alvaro Guillen Meza,Clay,2020s,4,wide,True,43,3,20,0.46511627906976744,2024-01-21,2025-04-04
Alvaro Guillen Meza,Clay,2020s,5,body,True,4,2,2,0.5,2024-01-21,2024-03-26
Alvaro Guillen Meza,Clay,2020s,6,t,True,45,3,20,0.4444444444444444,2024-01-21,2025-04-04
Amir Weintraub,Hard,2010s,4,wide,True,10,1,7,0.7,2014-05-15,2014-05-15
Amir Weintraub,Hard,2010s,5,body,True,8,1,5,0.625,2014-05-15,2014-05-15
Amir Weintraub,Hard,2010s,6,t,True,11,1,5,0.45454545454545453,2014-05-15,2014-05-15
Amos Mansdorf,Hard,to_2009,4,wide,True,10,1,8,0.8,1992-02-23,1992-02-23
Amos Mansdorf,Hard,to_2009,5,body,True,33,1,18,0.5454545454545454,1992-02-23,1992-02-23
Amos Mansdorf,Hard,to_2009,6,t,True,1,1,0,0.0,1992-02-23,1992-02-23
Anders Jarryd,Grass,to_2009,4,wide,True,14,1,7,0.5,1985-07-05,1985-07-05
Anders Jarryd,Grass,to_2009,5,body,True,21,1,13,0.6190476190476191,1985-07-05,1985-07-05
Anders Jarryd,Grass,to_2009,6,t,True,5,1,1,0.2,1985-07-05,1985-07-05
Andre Agassi,Hard,to_2009,4,wide,True,2652,170,1445,0.5448717948717948,1988-03-05,2006-08-31
Andre Agassi,Hard,to_2009,5,body,True,1173,160,631,0.5379369138959932,1988-03-05,2006-08-31
Andre Agassi,Hard,to_2009,6,t,True,1750,167,947,0.5411428571428571,1988-03-05,2006-08-31
Andre Agassi,Hard,to_2009,0,unknown,False,7,1,7,1.0,2001-08-27,2001-08-27
Andre Agassi,Clay,to_2009,4,wide,True,446,26,216,0.484304932735426,1988-06-04,2005-05-07
Andre Agassi,Clay,to_2009,5,body,True,182,25,84,0.46153846153846156,1988-06-04,2005-05-07
Andre Agassi,Clay,to_2009,6,t,True,290,26,155,0.5344827586206896,1988-06-04,2005-05-07
Andre Agassi,Grass,to_2009,4,wide,True,330,16,204,0.6181818181818182,1991-07-04,2006-07-01
Andre Agassi,Grass,to_2009,5,body,True,150,16,88,0.5866666666666667,1991-07-04,2006-07-01
Andre Agassi,Grass,to_2009,6,t,True,202,16,113,0.5594059405940595,1991-07-04,2006-07-01
Andrea Arnaboldi,Grass,2010s,4,wide,True,17,1,12,0.7058823529411765,2019-07-01,2019-07-01
Andrea Arnaboldi,Grass,2010s,5,body,True,15,1,9,0.6,2019-07-01,2019-07-01
Andrea Arnaboldi,Grass,2010s,6,t,True,9,1,4,0.4444444444444444,2019-07-01,2019-07-01
Andrea Collarini,Clay,2010s,4,wide,True,5,1,3,0.6,2019-08-14,2019-08-14
Andrea Collarini,Clay,2010s,5,body,True,1,1,1,1.0,2019-08-14,2019-08-14
Andrea Collarini,Clay,2010s,6,t,True,1,1,1,1.0,2019-08-14,2019-08-14
Andrea Gaudenzi,Clay,to_2009,4,wide,True,38,4,22,0.5789473684210527,1995-04-27,1998-08-02
Andrea Gaudenzi,Clay,to_2009,5,body,True,31,4,22,0.7096774193548387,1995-04-27,1998-08-02
Andrea Gaudenzi,Clay,to_2009,6,t,True,19,3,10,0.5263157894736842,1995-04-27,1998-08-02
Andrea Gaudenzi,Clay,to_2009,0,unknown,False,1,1,0,0.0,1995-04-27,1995-04-27
Andrea Pellegrino,Clay,2020s,4,wide,True,19,2,13,0.6842105263157895,2021-10-10,2025-07-16
Andrea Pellegrino,Clay,2020s,5,body,True,17,2,9,0.5294117647058824,2021-10-10,2025-07-16
Andrea Pellegrino,Clay,2020s,6,t,True,7,2,2,0.2857142857142857,2021-10-10,2025-07-16
Andrea Vavassori,Hard,2020s,4,wide,True,17,3,9,0.5294117647058824,2021-11-08,2025-02-06
Andrea Vavassori,Hard,2020s,5,body,True,24,3,12,0.5,2021-11-08,2025-02-06
Andrea Vavassori,Hard,2020s,6,t,True,15,3,8,0.5333333333333333,2021-11-08,2025-02-06
Andrea Vavassori,Clay,2020s,4,wide,True,19,3,7,0.3684210526315789,2022-07-31,2024-02-16
Andrea Vavassori,Clay,2020s,5,body,True,12,3,3,0.25,2022-07-31,2024-02-16
