fold,surface,rank,direction,comparison_scope,explanation_code,orientations,share_within_rank_direction,mean_server_component,mean_opponent_component,mean_absolute_component_difference
2020,<ALL>,1,wide,surface,evidence_above_threshold,92,1.0,0.5380974892784928,0.5283981197385489,0.052800077121511066
2020,<ALL>,1,wide,surface,opponent_component_higher,40,0.43478260869565216,0.518041520340265,0.567607334059067,0.0495658137188022
2020,<ALL>,1,wide,surface,recommendation_available,92,1.0,0.5380974892784928,0.5283981197385489,0.052800077121511066
2020,<ALL>,1,wide,surface,server_component_higher,52,0.5652173913043478,0.5535251576925142,0.4982371856458425,0.05528797204667173
2020,<ALL>,1,wide,surface,surface_history_used,92,1.0,0.5380974892784928,0.5283981197385489,0.052800077121511066
2020,<ALL>,1,body,surface,evidence_above_threshold,59,1.0,0.5155435008037923,0.5264259743284181,0.04922463022826892
2020,<ALL>,1,body,surface,opponent_component_higher,33,0.559322033898305,0.49900479707979767,0.5527369049801127,0.05373210790031497
2020,<ALL>,1,body,surface,recommendation_available,59,1.0,0.5155435008037923,0.5264259743284181,0.04922463022826892
2020,<ALL>,1,body,surface,server_component_higher,26,0.4406779661016949,0.5365349324534777,0.4930313315781903,0.04350360087528739
2020,<ALL>,1,body,surface,surface_history_used,59,1.0,0.5155435008037923,0.5264259743284181,0.04922463022826892
2020,<ALL>,1,T,surface,balanced_components,1,0.02702702702702703,0.5,0.5,0.0
2020,<ALL>,1,T,surface,evidence_above_threshold,37,1.0,0.5334538418954136,0.5230808155428905,0.059250533693941065
2020,<ALL>,1,T,surface,opponent_component_higher,14,0.3783783783783784,0.5062702359542318,0.5708583706553917,0.06458813470115975
2020,<ALL>,1,T,surface,recommendation_available,37,1.0,0.5334538418954136,0.5230808155428905,0.059250533693941065
2020,<ALL>,1,T,surface,server_component_higher,22,0.5945945945945946,0.5522731293986841,0.49372604481415777,0.0585470845845265
2020,<ALL>,1,T,surface,surface_history_used,37,1.0,0.5334538418954136,0.5230808155428905,0.059250533693941065
2020,<ALL>,1,wide,global,balanced_components,1,0.07142857142857142,0.5384615384615384,0.5384615384615384,0.0
2020,<ALL>,1,wide,global,evidence_above_threshold,14,1.0,0.5291113914948392,0.5419949225906554,0.04345831931315328
2020,<ALL>,1,wide,global,global_fallback_used,14,1.0,0.5291113914948392,0.5419949225906554,0.04345831931315328
2020,<ALL>,1,wide,global,opponent_component_higher,9,0.6428571428571429,0.5194993868914857,0.5633208260984621,0.04382143920697635
2020,<ALL>,1,wide,global,recommendation_available,14,1.0,0.5291113914948392,0.5419949225906554,0.04345831931315328
2020,<ALL>,1,wide,global,server_component_higher,4,0.2857142857142857,0.5484008651107096,0.49489498573037,0.053505879380339696
2020,<ALL>,1,body,global,evidence_above_threshold,5,1.0,0.5461534037226504,0.5351578520096721,0.031483983766026055
2020,<ALL>,1,body,global,global_fallback_used,5,1.0,0.5461534037226504,0.5351578520096721,0.031483983766026055
2020,<ALL>,1,body,global,opponent_component_higher,3,0.6,0.5151686206397453,0.5322423140172851,0.017073693377539795
2020,<ALL>,1,body,global,recommendation_available,5,1.0,0.5461534037226504,0.5351578520096721,0.031483983766026055
2020,<ALL>,1,body,global,server_component_higher,2,0.4,0.5926305783470082,0.5395311589982528,0.05309941934875545
2020,<ALL>,1,T,global,evidence_above_threshold,6,1.0,0.5404927801890455,0.5575617246278423,0.03777440559246977
2020,<ALL>,1,T,global,global_fallback_used,6,1.0,0.5404927801890455,0.5575617246278423,0.03777440559246977
2020,<ALL>,1,T,global,opponent_component_higher,4,0.6666666666666666,0.5139863570087255,0.5551188695321754,0.04113251252344988
2020,<ALL>,1,T,global,recommendation_available,6,1.0,0.5404927801890455,0.5575617246278423,0.03777440559246977
2020,<ALL>,1,T,global,server_component_higher,2,0.3333333333333333,0.5935056265496853,0.5624474348191757,0.031058191730509555
2020,<ALL>,2,wide,surface,evidence_above_threshold,69,1.0,0.49888611273978267,0.5103106226993667,0.055641470227420047
2020,<ALL>,2,wide,surface,narrow_score_margin,28,0.4057971014492754,0.5013672929279817,0.5083510195880975,0.04911367570190602
2020,<ALL>,2,wide,surface,opponent_component_higher,39,0.5652173913043478,0.47358858785379115,0.5329161857115253,0.059327597857734324
2020,<ALL>,2,wide,surface,recommendation_available,69,1.0,0.49888611273978267,0.5103106226993667,0.055641470227420047
2020,<ALL>,2,wide,surface,server_component_higher,30,0.43478260869565216,0.5317728950915718,0.48092339078356033,0.05084950430801148
2020,<ALL>,2,wide,surface,surface_history_used,69,1.0,0.49888611273978267,0.5103106226993667,0.055641470227420047
2020,<ALL>,2,body,surface,evidence_above_threshold,53,1.0,0.5100647166745068,0.5103972277792623,0.051672229659940686
2020,<ALL>,2,body,surface,narrow_score_margin,15,0.2830188679245283,0.4980524652032411,0.5097924038007062,0.05146093505912476
2020,<ALL>,2,body,surface,opponent_component_higher,23,0.4339622641509434,0.4858476229372716,0.5457661286009434,0.05991850566367173
2020,<ALL>,2,body,surface,recommendation_available,53,1.0,0.5100647166745068,0.5103972277792623,0.051672229659940686
2020,<ALL>,2,body,surface,server_component_higher,30,0.5660377358490566,0.528631155206387,0.4832810704826402,0.045350084723746874
2020,<ALL>,2,body,surface,surface_history_used,53,1.0,0.5100647166745068,0.5103972277792623,0.051672229659940686
2020,<ALL>,2,T,surface,evidence_above_threshold,66,1.0,0.5129535174679142,0.5016495268594926,0.06584192410452488
2020,<ALL>,2,T,surface,narrow_score_margin,23,0.3484848484848485,0.5269990953016562,0.49674485121373024,0.06471431582489426
2020,<ALL>,2,T,surface,opponent_component_higher,25,0.3787878787878788,0.4659936503151673,0.5379837225300237,0.07199007221485643
2020,<ALL>,2,T,surface,recommendation_available,66,1.0,0.5129535174679142,0.5016495268594926,0.06584192410452488
2020,<ALL>,2,T,surface,server_component_higher,41,0.6212121212121212,0.5415875828049549,0.4794945294994128,0.06209305330554222
2020,<ALL>,2,T,surface,surface_history_used,66,1.0,0.5129535174679142,0.5016495268594926,0.06584192410452488
2020,<ALL>,2,wide,global,evidence_above_threshold,4,1.0,0.5151636718889349,0.4921082862159768,0.02374112235007414
2020,<ALL>,2,wide,global,global_fallback_used,4,1.0,0.5151636718889349,0.4921082862159768,0.02374112235007414
2020,<ALL>,2,wide,global,narrow_score_margin,2,0.5,0.48777875701424606,0.47720438925335834,0.011945841115119704
2020,<ALL>,2,wide,global,opponent_component_higher,1,0.25,0.4702194357366771,0.4715909090909091,0.001371473354231989
2020,<ALL>,2,wide,global,recommendation_available,4,1.0,0.5151636718889349,0.4921082862159768,0.02374112235007414
2020,<ALL>,2,wide,global,server_component_higher,3,0.75,0.5301450839396874,0.4989474119243327,0.031197672015354855
2020,<ALL>,2,body,global,evidence_above_threshold,10,1.0,0.5162206787121529,0.542940978304155,0.05432827189892726
2020,<ALL>,2,body,global,global_fallback_used,10,1.0,0.5162206787121529,0.542940978304155,0.05432827189892726
2020,<ALL>,2,body,global,narrow_score_margin,3,0.3,0.5552905668512604,0.5498792462143247,0.06955176165598946
2020,<ALL>,2,body,global,opponent_component_higher,8,0.8,0.5070546945440373,0.5577100517258682,0.05065535718183085
2020,<ALL>,2,body,global,recommendation_available,10,1.0,0.5162206787121529,0.542940978304155,0.05432827189892726
2020,<ALL>,2,body,global,server_component_higher,2,0.2,0.5528846153846154,0.4838646846173025,0.06901993076731291
2020,<ALL>,2,T,global,evidence_above_threshold,11,1.0,0.5181380194337795,0.5070780736281484,0.05342201517233938
2020,<ALL>,2,T,global,global_fallback_used,11,1.0,0.5181380194337795,0.5070780736281484,0.05342201517233938
2020,<ALL>,2,T,global,narrow_score_margin,5,0.45454545454545453,0.5188200248596289,0.5365635404394556,0.05772385655421203
