scope,metric,threshold,stratum_type,stratum,eligible_snapshots,total_snapshots,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
server_global,historical_points,50,surface,Hard,8738,9646,0.9058677171884719,4047,4823,0.8391042919344807,420
server_global,historical_points,50,surface,Clay,3178,3744,0.8488247863247863,1405,1872,0.750534188034188,338
server_global,historical_points,50,surface,Grass,1473,1658,0.8884197828709288,662,829,0.7985524728588661,260
server_global,historical_points,50,derived_period,to_2009,3385,3912,0.8652862985685071,1466,1956,0.7494887525562373,153
server_global,historical_points,50,derived_period,2010s,3846,4464,0.8615591397849462,1724,2232,0.7724014336917563,197
server_global,historical_points,50,derived_period,2020s,6158,6672,0.9229616306954437,2924,3336,0.8764988009592326,279
server_global,historical_points,100,overall,Overall,12704,15048,0.8442317916002127,5569,7524,0.7401648059542797,377
server_global,historical_points,100,surface,Hard,8353,9646,0.865954799917064,3723,4823,0.7719261870205266,350
server_global,historical_points,100,surface,Clay,2953,3744,0.7887286324786325,1242,1872,0.6634615384615384,276
server_global,historical_points,100,surface,Grass,1398,1658,0.8431845597104946,604,829,0.7285886610373945,232
server_global,historical_points,100,derived_period,to_2009,3196,3912,0.8169734151329243,1308,1956,0.6687116564417178,127
server_global,historical_points,100,derived_period,2010s,3580,4464,0.8019713261648745,1522,2232,0.681899641577061,162
server_global,historical_points,100,derived_period,2020s,5928,6672,0.8884892086330936,2739,3336,0.8210431654676259,232
server_global,historical_points,250,overall,Overall,11210,15048,0.7449494949494949,4416,7524,0.5869218500797448,264
server_global,historical_points,250,surface,Hard,7426,9646,0.7698527887207133,2986,4823,0.6191167323242794,252
server_global,historical_points,250,surface,Clay,2538,3744,0.6778846153846154,946,1872,0.5053418803418803,215
server_global,historical_points,250,surface,Grass,1246,1658,0.7515078407720145,484,829,0.5838359469240049,169
server_global,historical_points,250,derived_period,to_2009,2775,3912,0.7093558282208589,977,1956,0.4994887525562372,83
server_global,historical_points,250,derived_period,2010s,3060,4464,0.6854838709677419,1150,2232,0.5152329749103942,101
server_global,historical_points,250,derived_period,2020s,5375,6672,0.80560551558753,2289,3336,0.6861510791366906,177
server_global,historical_points,500,overall,Overall,9548,15048,0.6345029239766082,3219,7524,0.42783094098883573,178
server_global,historical_points,500,surface,Hard,6333,9646,0.6565415716359112,2186,4823,0.45324486833920796,173
server_global,historical_points,500,surface,Clay,2136,3744,0.5705128205128205,682,1872,0.3643162393162393,153
server_global,historical_points,500,surface,Grass,1079,1658,0.6507840772014475,351,829,0.4234016887816647,131
server_global,historical_points,500,derived_period,to_2009,2353,3912,0.601482617586912,683,1956,0.34918200408997957,51
server_global,historical_points,500,derived_period,2010s,2553,4464,0.5719086021505376,808,2232,0.36200716845878134,64
server_global,historical_points,500,derived_period,2020s,4642,6672,0.6957434052757794,1728,3336,0.5179856115107914,121
