aggregation_level,group_type,group_value,serve_number,surface,period,validation_fold,profile_id,return_shot_type_code,return_lateral_direction_code,return_depth_code,trials,returner_wins,server_wins,returner_win_rate,wilson_95_lower,wilson_95_upper
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|1|7,v,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|1|8,v,1,8,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|1|9,v,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|2|7,v,2,7,3,1,2,0.3333333333333333,0.06149194472039621,0.7923403991979522
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|2|8,v,2,8,5,2,3,0.4,0.11762077423264783,0.769275718723987
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|2|9,v,2,9,4,0,4,0.0,0.0,0.4898908364545973
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|3|7,v,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|3|8,v,3,8,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,v|3|9,v,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|1|7,z,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|1|8,z,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|1|9,z,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|2|7,z,2,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|2|8,z,2,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|2|9,z,2,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|3|7,z,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|3|8,z,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,z|3|9,z,3,9,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|1|7,o,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|1|8,o,1,8,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|1|9,o,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|2|7,o,2,7,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|2|8,o,2,8,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|2|9,o,2,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|3|7,o,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|3|8,o,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,o|3|9,o,3,9,1,1,0,1.0,0.20654931437723745,1.0
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|1|7,p,1,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|1|8,p,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|1|9,p,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|2|7,p,2,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|2|8,p,2,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|2|9,p,2,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|3|7,p,3,7,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|3|8,p,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,p|3|9,p,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|1|7,u,1,7,35,19,16,0.5428571428571428,0.3818972506848375,0.6953398071159278
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|1|8,u,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|1|9,u,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|2|7,u,2,7,17,10,7,0.5882352941176471,0.3600544264299978,0.7838894320978518
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|2|8,u,2,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|2|9,u,2,9,1,0,1,0.0,0.0,0.7934506856227626
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|3|7,u,3,7,13,5,8,0.38461538461538464,0.17709707797762575,0.6447710848733431
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|3|8,u,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,u|3|9,u,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|1|7,y,1,7,125,64,61,0.512,0.4253306690009912,0.5979537615500091
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|1|8,y,1,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|1|9,y,1,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|2|7,y,2,7,85,37,48,0.43529411764705883,0.33495777427196094,0.5412261589275046
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|2|8,y,2,8,2,0,2,0.0,0.0,0.6576197724933469
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|2|9,y,2,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|3|7,y,3,7,104,49,55,0.47115384615384615,0.37796485864865453,0.5663979117959099
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|3|8,y,3,8,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,y|3|9,y,3,9,0,0,0,,,
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|1|7,l,1,7,62,5,57,0.08064516129032258,0.03493834698599271,0.17528571348612612
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|1|8,l,1,8,48,19,29,0.3958333333333333,0.2702082786059137,0.5368959150745274
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|1|9,l,1,9,41,22,19,0.5365853658536586,0.38746471267669474,0.6794376602366394
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|2|7,l,2,7,100,9,91,0.09,0.04807254000256516,0.1622621285271631
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|2|8,l,2,8,77,20,57,0.2597402597402597,0.17489197371641613,0.3674220747959223
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|2|9,l,2,9,72,30,42,0.4166666666666667,0.3098521747473985,0.5319230206853446
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|3|7,l,3,7,52,6,46,0.11538461538461539,0.05396969203087296,0.22971664344902112
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|3|8,l,3,8,30,8,22,0.26666666666666666,0.14182663319596317,0.4444796169518888
profile_outcome,total,ALL,0,ALL,ALL,ALL,l|3|9,l,3,9,31,14,17,0.45161290322580644,0.29161735980520015,0.6222783236264549
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|1|7,m,1,7,149,9,140,0.06040268456375839,0.032100224500152576,0.11080248651307728
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|1|8,m,1,8,88,21,67,0.23863636363636365,0.16171042608327632,0.3374264496733719
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|1|9,m,1,9,93,38,55,0.40860215053763443,0.31425494945885146,0.5102004004809282
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|2|7,m,2,7,235,14,221,0.059574468085106386,0.03581541011450673,0.09750088672070278
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|2|8,m,2,8,217,50,167,0.2304147465437788,0.1793683317909061,0.29083984096439713
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|2|9,m,2,9,155,67,88,0.432258064516129,0.3568394795794219,0.5109532229309124
profile_outcome,total,ALL,0,ALL,ALL,ALL,m|3|7,m,3,7,139,16,123,0.11510791366906475,0.07210694794796893,0.17881081161989684
