aggregation_level,serve_number,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,observed_type_denominator,share_among_observed_types,end_to_end_denominator,end_to_end_coverage
family,2,,,groundstroke,314129,5993,870,869,349868,0.897850046303177,391103,0.803187395647694
family,0,,,slice,163249,5959,848,848,881717,0.185148976372237,1426863,0.114411124263507
family,1,,,slice,128304,5945,845,842,531849,0.24124140498525,1035760,0.123874256584537
family,2,,,slice,34945,4203,634,639,349868,0.0998805263699452,391103,0.0893498643579824
family,0,,,volley,25,25,21,22,881717,2.83537688396617e-05,1426863,1.75209533080611e-05
family,1,,,volley,19,19,16,18,531849,3.57244255418361e-05,1035760,1.83440179192091e-05
family,2,,,volley,6,6,5,6,349868,1.71493248882436e-05,391103,1.53412272470423e-05
family,0,,,overhead,5,5,5,5,881717,5.67075376793234e-06,1426863,3.50419066161222e-06
family,1,,,overhead,4,4,4,4,531849,7.52093169301813e-06,1035760,3.86189850930718e-06
family,2,,,overhead,1,1,1,1,349868,2.85822081470726e-06,391103,2.55687120784039e-06
family,0,,,drop_shot,657,470,193,161,881717,0.00074513704510631,1426863,0.000460450652935846
family,1,,,drop_shot,189,153,88,88,531849,0.000355364022495107,1035760,0.000182474704564764
family,2,,,drop_shot,468,349,159,118,349868,0.001337647341283,391103,0.0011966157252693
family,0,,,lob,3820,1759,409,437,881717,0.00433245587870031,1426863,0.00267720166547174
family,1,,,lob,3554,1680,402,420,531849,0.00668234780924661,1035760,0.00343129682551943
family,2,,,lob,266,231,113,154,349868,0.000760286736712131,391103,0.000680127741285544
family,0,,,half_volley,52,24,22,6,881717,5.89758391864963e-05,1426863,3.64435828807671e-05
family,1,,,half_volley,4,3,3,3,531849,7.52093169301813e-06,1035760,3.86189850930718e-06
family,2,,,half_volley,48,22,20,4,349868,0.000137194599105949,391103,0.000122729817976339
family,0,,,swinging_volley,0,0,0,0,881717,0,1426863,0
family,1,,,swinging_volley,0,0,0,0,531849,0,1035760,0
family,2,,,swinging_volley,0,0,0,0,349868,0,391103,0
family,0,,,special,18,16,14,12,881717,2.04147135645564e-05,1426863,1.2615086381804e-05
family,1,,,special,13,11,10,9,531849,2.44430280023089e-05,1035760,1.25511701552483e-05
family,2,,,special,5,5,5,5,349868,1.42911040735363e-05,391103,1.27843560392019e-05
