player,surface,year,matches,points
Lleyton Hewitt,Grass,1999,4,871
Lleyton Hewitt,Grass,2000,1,117
Lleyton Hewitt,Grass,2001,2,363
Lleyton Hewitt,Grass,2002,4,857
Lleyton Hewitt,Grass,2003,2,555
Lleyton Hewitt,Grass,2004,3,617
Lleyton Hewitt,Grass,2005,4,755
Lleyton Hewitt,Grass,2006,3,396
Lleyton Hewitt,Grass,2007,2,497
Lleyton Hewitt,Grass,2008,1,185
Lleyton Hewitt,Grass,2009,1,357
Lleyton Hewitt,Grass,2010,1,224
Lleyton Hewitt,Grass,2011,1,276
Lleyton Hewitt,Grass,2012,1,163
Lleyton Hewitt,Hard,1998,1,126
Lleyton Hewitt,Hard,2000,9,1686
Lleyton Hewitt,Hard,2001,15,2513
Lleyton Hewitt,Hard,2002,14,2588
Lleyton Hewitt,Hard,2003,5,978
Lleyton Hewitt,Hard,2004,16,2303
Lleyton Hewitt,Hard,2005,12,2662
Lleyton Hewitt,Hard,2006,4,867
Lleyton Hewitt,Hard,2007,2,373
Lleyton Hewitt,Hard,2008,1,374
Lleyton Hewitt,Hard,2009,3,558
Lleyton Hewitt,Hard,2010,1,177
Lleyton Hewitt,Hard,2011,1,386
Lleyton Hewitt,Hard,2012,1,226
Lleyton Hewitt,Hard,2013,1,291
Lleyton Hewitt,Hard,2014,2,232
Lleyton Hewitt,Hard,2015,1,319
Lloyd Harris,Grass,2024,1,326
Lloyd Harris,Hard,2019,3,374
Lloyd Harris,Hard,2020,1,189
Lloyd Harris,Hard,2022,2,250
Lloyd Harris,Hard,2023,1,196
Lorenzo Giustino,Hard,2019,2,333
Lorenzo Musetti,Clay,2019,2,410
Lorenzo Musetti,Clay,2021,5,803
Lorenzo Musetti,Clay,2022,7,1322
Lorenzo Musetti,Clay,2023,7,872
Lorenzo Musetti,Clay,2024,13,1954
Lorenzo Musetti,Clay,2025,18,2962
Lorenzo Musetti,Clay,2026,2,275
Lorenzo Musetti,Grass,2023,2,349
Lorenzo Musetti,Grass,2024,11,2080
Lorenzo Musetti,Hard,2020,1,154
Lorenzo Musetti,Hard,2021,4,582
Lorenzo Musetti,Hard,2022,8,1446
Lorenzo Musetti,Hard,2023,5,686
Lorenzo Musetti,Hard,2024,12,2301
Lorenzo Musetti,Hard,2025,22,3563
Lorenzo Musetti,Hard,2026,5,767
Lorenzo Sonego,Clay,2019,4,538
Lorenzo Sonego,Clay,2021,1,194
Lorenzo Sonego,Clay,2023,1,111
Lorenzo Sonego,Clay,2024,3,454
Lorenzo Sonego,Clay,2025,1,266
Lorenzo Sonego,Grass,2021,2,400
Lorenzo Sonego,Grass,2023,1,216
Lorenzo Sonego,Grass,2024,1,133
Lorenzo Sonego,Grass,2025,1,387
Lorenzo Sonego,Hard,2019,2,247
Lorenzo Sonego,Hard,2020,3,415
Lorenzo Sonego,Hard,2021,1,295
Lorenzo Sonego,Hard,2022,6,1018
Lorenzo Sonego,Hard,2023,4,656
Lorenzo Sonego,Hard,2024,6,708
Lorenzo Sonego,Hard,2025,7,1429
Luca Nardi,Clay,2023,1,71
Luca Nardi,Grass,2025,1,153
Luca Nardi,Hard,2022,2,302
Luca Nardi,Hard,2024,2,360
Luca Nardi,Hard,2025,2,270
Luca Van Assche,Clay,2022,2,239
Luca Van Assche,Hard,2024,4,749
Luca Van Assche,Hard,2025,1,193
Luca Vanni,Hard,2014,1,179
Lucas Catarina,Clay,2021,1,230
Lucas Catarina,Clay,2024,1,95
Lucas Pouille,Clay,2015,1,126
Lucas Pouille,Clay,2016,2,206
Lucas Pouille,Clay,2017,2,282
Lucas Pouille,Clay,2018,1,185
Lucas Pouille,Clay,2019,1,119
Lucas Pouille,Clay,2021,1,159
Lucas Pouille,Clay,2022,1,95
Lucas Pouille,Grass,2017,1,196
Lucas Pouille,Grass,2018,1,137
Lucas Pouille,Grass,2019,2,402
Lucas Pouille,Hard,2015,1,98
Lucas Pouille,Hard,2016,5,835
Lucas Pouille,Hard,2017,3,474
Lucas Pouille,Hard,2018,3,510
Lucas Pouille,Hard,2019,4,774
Lucas Pouille,Hard,2021,2,247
Lucas Pouille,Hard,2024,1,158
Luciano Darderi,Clay,2022,1,184
Luciano Darderi,Clay,2024,4,574
Luciano Darderi,Clay,2025,1,164
Luciano Darderi,Clay,2026,1,198
Luciano Darderi,Hard,2024,2,224
Luciano Darderi,Hard,2025,2,317
Luciano Darderi,Hard,2026,1,183
Luis Ayala,Clay,1960,1,251
Luis Herrera,Grass,1990,1,236
Luka Pavlovic,Hard,2026,1,143
Lukas Klein,Clay,2024,1,115
Lukas Klein,Hard,2023,1,194
Lukas Klein,Hard,2026,1,210
Lukas Lacko,Grass,2018,1,151
Lukas Lacko,Hard,2011,1,142
Lukas Lacko,Hard,2012,1,98
Lukas Lacko,Hard,2014,1,119
Lukas Lacko,Hard,2015,1,93
Lukas Lacko,Hard,2019,1,113
Lukas Lacko,Hard,2021,1,119
Lukas Neumayer,Clay,2024,1,143
Lukas Neumayer,Hard,2025,1,230
Lukas Rosol,Clay,2014,1,132
Lukas Rosol,Clay,2015,2,346
Lukas Rosol,Grass,2012,1,276
Lukas Rosol,Grass,2014,1,245
Lukas Rosol,Hard,2013,2,253
Lukas Rosol,Hard,2016,1,186
Lukas Rosol,Hard,2018,1,158
Lukas Rosol,Hard,2019,1,100
Lukasz Kubot,Clay,2009,1,130
Mackenzie Mcdonald,Clay,2022,1,237
Mackenzie Mcdonald,Clay,2025,1,150
Mackenzie Mcdonald,Grass,2023,1,265
Mackenzie Mcdonald,Grass,2024,2,543
Mackenzie Mcdonald,Hard,2015,1,103
Mackenzie Mcdonald,Hard,2018,1,298
Mackenzie Mcdonald,Hard,2019,4,692
Mackenzie Mcdonald,Hard,2021,2,340
Mackenzie Mcdonald,Hard,2022,3,422
Mackenzie Mcdonald,Hard,2023,5,906
Mackenzie Mcdonald,Hard,2024,3,556
Mackenzie Mcdonald,Hard,2025,1,107
Magnus Gustafsson,Clay,1991,1,285
Magnus Gustafsson,Clay,1993,1,270
Magnus Gustafsson,Hard,1989,1,165
Magnus Gustafsson,Hard,1993,1,96
Magnus Gustafsson,Hard,1996,1,122
Magnus Gustafsson,Hard,1997,1,133
Magnus Larsson,Clay,1994,1,146
Magnus Larsson,Grass,1998,1,127
Magnus Larsson,Hard,1994,2,431
Magnus Larsson,Hard,1995,1,135
Magnus Larsson,Hard,1997,1,184
Magnus Larsson,Hard,1998,1,165
Magnus Norman,Clay,2000,5,1028
Magnus Norman,Clay,2001,1,112
Magnus Norman,Hard,2000,2,264
Magnus Norman,Hard,2001,1,120
Makoto Ochi,Hard,2015,1,103
Maks Kasnikowski,Hard,2024,1,318
Malek Jaziri,Clay,2019,1,103
Malek Jaziri,Clay,2022,1,172
Malek Jaziri,Grass,2018,1,194
Malek Jaziri,Hard,2015,1,191
Malek Jaziri,Hard,2017,2,284
Malek Jaziri,Hard,2018,1,213
Malek Jaziri,Hard,2023,1,76
Malivai Washington,Grass,1996,3,893
Malivai Washington,Hard,1992,2,262
Malivai Washington,Hard,1993,2,216
Malivai Washington,Hard,1995,3,410
Mansour Bahrami,Clay,1988,1,104
Manuel Orantes,Clay,1975,1,170
Marat Safin,Clay,1998,3,930
Marat Safin,Clay,2000,2,407
Marat Safin,Clay,2001,2,522
Marat Safin,Clay,2002,5,952
Marat Safin,Clay,2004,4,800
Marat Safin,Clay,2005,2,620
Marat Safin,Clay,2006,1,231
Marat Safin,Clay,2007,3,470
Marat Safin,Clay,2008,1,174
Marat Safin,Grass,1999,1,257
Marat Safin,Grass,2005,1,194
Marat Safin,Grass,2006,1,335
Marat Safin,Grass,2007,2,376
Marat Safin,Grass,2008,3,615
Marat Safin,Hard,1999,1,251
Marat Safin,Hard,2000,11,1955
Marat Safin,Hard,2001,2,374
Marat Safin,Hard,2002,9,2077
Marat Safin,Hard,2004,12,2214
Marat Safin,Hard,2005,5,1123
Marat Safin,Hard,2006,5,1312
Marat Safin,Hard,2007,1,263
Marat Safin,Hard,2008,2,499
Marat Safin,Hard,2009,3,473
Marc Andrea Huesler,Clay,2019,1,141
Marc Andrea Huesler,Hard,2020,1,234
Marc Andrea Huesler,Hard,2023,3,758
Marc Andrea Huesler,Hard,2024,2,348
Marc Gicquel,Grass,2008,1,150
Marc Lopez,Clay,2003,1,196
Marc Polmans,Hard,2019,3,586
Marc Polmans,Hard,2020,1,346
Marc Polmans,Hard,2024,1,156
Marc Rosset,Clay,1992,2,684
Marc Rosset,Clay,1996,2,462
Marc Rosset,Grass,1991,1,141
Marc Rosset,Grass,1996,1,264
Marc Rosset,Hard,1993,2,362
Marc Rosset,Hard,1994,2,374
Marc Rosset,Hard,2000,1,164
Marc Sieber,Clay,2017,1,110
Marcel Freeman,Grass,1987,1,133
Marcel Granollers,Grass,2019,1,185
Marcel Granollers,Hard,2011,1,129
Marcel Granollers,Hard,2013,1,92
Marcel Granollers,Hard,2014,2,254
Marcel Granollers,Hard,2015,2,307
Marcel Granollers,Hard,2016,1,98
Marcel Granollers,Hard,2017,1,87
Marcel Granollers,Hard,2018,1,169
Marcelo Arevalo,Clay,2015,1,119
Marcelo Arevalo,Clay,2016,1,96
Marcelo Arevalo,Clay,2019,1,174
Marcelo Filippini,Clay,1990,1,191
Marcelo Filippini,Clay,1992,1,183
Marcelo Rios,Clay,1995,2,299
Marcelo Rios,Clay,1996,2,333
Marcelo Rios,Clay,1997,2,349
Marcelo Rios,Clay,1998,1,201
Marcelo Rios,Clay,1999,3,611
Marcelo Rios,Clay,2001,1,180
Marcelo Rios,Hard,1996,1,97
Marcelo Rios,Hard,1998,8,1594
Marcelo Rios,Hard,1999,1,161
Marcelo Rios,Hard,2000,1,251
Marcelo Tomas Barrios Vera,Clay,2025,1,303
Marco Cecchinato,Clay,2018,2,492
Marco Cecchinato,Clay,2019,3,369
Marco Cecchinato,Clay,2020,2,488
Marco Cecchinato,Clay,2021,1,276
Marco Cecchinato,Clay,2022,2,446
Marco Cecchinato,Hard,2018,2,203
Marco Cecchinato,Hard,2019,5,577
Marco Cecchinato,Hard,2021,1,112
Marco Trungelliti,Clay,2019,1,132
Marco Trungelliti,Clay,2024,1,139
Marcos Baghdatis,Clay,2017,1,122
Marcos Baghdatis,Grass,2006,2,377
Marcos Baghdatis,Grass,2012,1,173
Marcos Baghdatis,Grass,2015,1,98
Marcos Baghdatis,Grass,2019,2,343
Marcos Baghdatis,Hard,2004,1,219
Marcos Baghdatis,Hard,2006,4,1169
Marcos Baghdatis,Hard,2007,1,183
Marcos Baghdatis,Hard,2008,2,658
Marcos Baghdatis,Hard,2010,4,694
Marcos Baghdatis,Hard,2012,1,114
Marcos Baghdatis,Hard,2013,1,120
Marcos Baghdatis,Hard,2016,1,108
Marcos Baghdatis,Hard,2017,1,32
Marcos Baghdatis,Hard,2018,1,190
Marcos Baghdatis,Hard,2019,1,100
Marcos Daniel,Hard,2005,1,159
Marcos Giron,Clay,2021,1,85
Marcos Giron,Clay,2023,1,157
Marcos Giron,Clay,2025,2,336
Marcos Giron,Grass,2023,2,282
Marcos Giron,Grass,2024,2,306
Marcos Giron,Hard,2018,1,130
Marcos Giron,Hard,2019,1,186
Marcos Giron,Hard,2021,2,320
Marcos Giron,Hard,2022,4,610
Marcos Giron,Hard,2023,4,539
Marcos Giron,Hard,2024,5,756
Marcos Giron,Hard,2025,3,550
Marcos Giron,Hard,2026,2,539
Marcus Willis,Grass,2016,1,156
Mardy Fish,Grass,2003,1,207
Mardy Fish,Grass,2004,1,102
Mardy Fish,Hard,2003,1,242
Mardy Fish,Hard,2004,3,565
Mardy Fish,Hard,2005,1,106
Mardy Fish,Hard,2008,2,302
Mardy Fish,Hard,2010,2,432
Mardy Fish,Hard,2011,2,269
Mardy Fish,Hard,2012,1,136
Mariano Navone,Clay,2022,1,97
Mariano Navone,Clay,2024,3,552
Mariano Navone,Clay,2025,4,843
Mariano Navone,Clay,2026,2,413
Mariano Navone,Grass,2024,1,93
Mariano Navone,Hard,2024,1,106
Mariano Puerta,Clay,2000,1,145
Mariano Puerta,Hard,2005,1,92
Mariano Zabaleta,Clay,1999,1,378
Mariano Zabaleta,Clay,2000,1,135
Marin Cilic,Clay,2010,1,212
Marin Cilic,Clay,2011,1,143
Marin Cilic,Clay,2014,1,70
Marin Cilic,Clay,2015,1,156
Marin Cilic,Clay,2017,1,224
Marin Cilic,Clay,2018,4,892
Marin Cilic,Clay,2021,2,395
Marin Cilic,Clay,2022,5,704
Marin Cilic,Clay,2025,2,282
Marin Cilic,Grass,2014,1,292
Marin Cilic,Grass,2015,1,164
Marin Cilic,Grass,2016,1,332
Marin Cilic,Grass,2017,2,431
Marin Cilic,Grass,2018,1,222
Marin Cilic,Grass,2022,1,114
Marin Cilic,Grass,2025,1,293
Marin Cilic,Hard,2009,2,337
Marin Cilic,Hard,2010,3,873
Marin Cilic,Hard,2011,3,598
Marin Cilic,Hard,2012,1,128
Marin Cilic,Hard,2014,4,593
Marin Cilic,Hard,2015,2,249
Marin Cilic,Hard,2016,6,1007
Marin Cilic,Hard,2017,2,268
Marin Cilic,Hard,2018,4,961
Marin Cilic,Hard,2019,5,907
Marin Cilic,Hard,2020,2,442
Marin Cilic,Hard,2021,7,1016
Marin Cilic,Hard,2022,10,1709
Marin Cilic,Hard,2024,2,288
Marin Cilic,Hard,2025,4,510
Marin Cilic,Hard,2026,1,105
Marinko Matosevic,Hard,2013,1,118
Marinko Matosevic,Hard,2014,5,734
Mario Ancic,Clay,2006,2,303
Mario Ancic,Clay,2008,1,146
Mario Ancic,Grass,2002,1,179
Mario Ancic,Grass,2004,1,263
Mario Ancic,Grass,2006,1,167
Mario Ancic,Grass,2008,1,166
Mario Ancic,Hard,2005,3,403
Mario Ancic,Hard,2008,1,118
Mario Vilella Martinez,Clay,2019,1,96
Marius Copil,Hard,2015,1,77
Marius Copil,Hard,2016,1,96
Marius Copil,Hard,2018,2,251
Marius Copil,Hard,2019,2,345
Mark Edmondson,Grass,1982,1,134
Mark Kevin Goellner,Clay,1993,1,244
Mark Lajal,Grass,2024,1,191
Mark Lajal,Hard,2025,1,180
Mark Petchey,Hard,1994,1,147
Mark Philippoussis,Grass,1996,1,196
Mark Philippoussis,Grass,2003,4,992
Mark Philippoussis,Hard,1995,1,248
Mark Philippoussis,Hard,1996,1,228
Mark Philippoussis,Hard,1997,4,715
Mark Philippoussis,Hard,1998,4,883
Mark Philippoussis,Hard,1999,1,302
Mark Philippoussis,Hard,2000,2,494
Mark Philippoussis,Hard,2003,3,612
Mark Woodforde,Hard,1988,1,304
Mark Woodforde,Hard,1996,1,151
Markus Eriksson,Clay,2012,1,116
Markus Hipfl,Hard,2001,1,140
Marsel Ilhan,Hard,2015,1,83
Martin Borisiouk,Hard,2024,1,116
Martin Cuevas,Clay,2021,1,175
Martin Damm,Hard,2025,1,163
Martin Damm,Hard,2026,1,143
Martin Damm Sr,Grass,1998,1,109
Martin Jaite,Clay,1985,1,194
Martin Jaite,Clay,1987,1,161
Martin Jaite,Clay,1988,1,273
Martin Klizan,Clay,2015,1,147
Martin Klizan,Clay,2016,2,207
Martin Klizan,Clay,2019,4,542
Martin Klizan,Hard,2015,2,298
Martin Klizan,Hard,2016,1,188
Martin Klizan,Hard,2018,1,175
Martin Klizan,Hard,2019,2,240
Martin Landaluce,Clay,2024,1,169
Martin Landaluce,Hard,2022,1,106
Martin Landaluce,Hard,2026,1,187
Martin Redlicki,Hard,2019,1,120
Martin Verkerk,Clay,2003,1,170
Martin Verkerk,Clay,2004,1,267
Martin Verkerk,Hard,2003,1,242
Marton Fucsovics,Clay,2018,1,180
Marton Fucsovics,Clay,2019,2,300
Marton Fucsovics,Clay,2020,1,246
Marton Fucsovics,Clay,2021,1,220
Marton Fucsovics,Clay,2023,2,383
Marton Fucsovics,Clay,2024,3,468
Marton Fucsovics,Grass,2021,2,465
Marton Fucsovics,Grass,2023,1,246
Marton Fucsovics,Grass,2024,1,232
Marton Fucsovics,Hard,2018,2,386
Marton Fucsovics,Hard,2019,9,1585
Marton Fucsovics,Hard,2020,3,649
Marton Fucsovics,Hard,2021,5,991
Marton Fucsovics,Hard,2022,1,107
Marton Fucsovics,Hard,2023,1,253
Marton Fucsovics,Hard,2024,2,188
Marton Fucsovics,Hard,2025,1,144
Marton Fucsovics,Hard,2026,4,509
Masamichi Imamura,Hard,2024,1,108
Mate Delic,Clay,2014,1,93
Mate Valkusz,Clay,2019,1,150
Mateus Alves,Clay,2023,1,132
Mateus Alves,Clay,2024,1,188
Mathias Bourgue,Clay,2014,1,117
Mats Wilander,Clay,1982,2,497
Mats Wilander,Clay,1983,2,486
Mats Wilander,Clay,1984,1,190
Mats Wilander,Clay,1985,2,455
Mats Wilander,Clay,1987,4,671
Mats Wilander,Clay,1988,2,457
Mats Wilander,Grass,1983,2,339
Mats Wilander,Grass,1984,1,303
Mats Wilander,Grass,1985,2,318
Mats Wilander,Grass,1987,1,174
Mats Wilander,Hard,1985,3,470
Mats Wilander,Hard,1986,1,131
Mats Wilander,Hard,1987,4,855
Mats Wilander,Hard,1988,3,934
Mats Wilander,Hard,1989,1,143
Mats Wilander,Hard,1990,1,127
Mats Wilander,Hard,1993,1,322
Mats Wilander,Hard,1995,1,84
Matt Reid,Hard,2014,1,119
Matt Reid,Hard,2016,1,82
Matteo Arnaldi,Clay,2022,1,104
Matteo Arnaldi,Clay,2024,2,328
Matteo Arnaldi,Clay,2025,2,436
Matteo Arnaldi,Hard,2023,4,693
Matteo Arnaldi,Hard,2024,8,1115
Matteo Arnaldi,Hard,2025,4,713
Matteo Berrettini,Clay,2018,1,96
Matteo Berrettini,Clay,2019,2,229
Matteo Berrettini,Clay,2021,6,1007
Matteo Berrettini,Clay,2022,3,424
Matteo Berrettini,Clay,2023,1,118
Matteo Berrettini,Clay,2024,2,178
Matteo Berrettini,Clay,2025,2,320
Matteo Berrettini,Clay,2026,2,162
Matteo Berrettini,Grass,2019,5,596
Matteo Berrettini,Grass,2021,5,1121
Matteo Berrettini,Grass,2022,4,541
Matteo Berrettini,Grass,2023,1,225
Matteo Berrettini,Grass,2024,4,738
Matteo Berrettini,Grass,2025,1,270
Matteo Berrettini,Hard,2016,1,127
Matteo Berrettini,Hard,2019,9,1235
Matteo Berrettini,Hard,2020,5,999
Matteo Berrettini,Hard,2021,7,1103
Matteo Berrettini,Hard,2022,12,2397
Matteo Berrettini,Hard,2023,5,811
Matteo Berrettini,Hard,2024,5,774
Matteo Berrettini,Hard,2025,9,1349
Matteo Berrettini,Hard,2026,2,311
Matteo Gigante,Clay,2025,1,247
Matteo Martineau,Clay,2024,1,188
Matthew Ebden,Clay,2024,1,73
Matthew Ebden,Grass,2015,1,96
Matthew Ebden,Grass,2018,1,146
Matthew Ebden,Hard,2014,2,187
Matthew Ebden,Hard,2018,1,126
Matthias Bachinger,Hard,2018,1,115
Matthias Bachinger,Hard,2019,1,122
Mattia Bellucci,Clay,2025,1,121
Mattia Bellucci,Hard,2022,3,463
Mattia Bellucci,Hard,2024,1,191
Mattia Bellucci,Hard,2025,5,698
Matwe Middelkoop,Hard,2023,1,112
Mauricio Echazu,Clay,2014,1,115
Max Hans Rehberg,Clay,2022,1,101
Max Hans Rehberg,Hard,2022,1,111
Max Houkes,Clay,2022,1,183
Max Houkes,Clay,2025,1,56
Max Mirnyi,Clay,2002,1,140
Max Mirnyi,Hard,2001,3,623
Max Mirnyi,Hard,2003,1,130
Max Mirnyi,Hard,2004,2,338
Max Mirnyi,Hard,2006,1,178
Max Purcell,Clay,2024,1,306
Max Purcell,Grass,2022,2,514
Max Purcell,Grass,2023,1,165
Max Purcell,Hard,2024,3,532
Max Schoenhaus,Clay,2025,1,168
Maxim Mrva,Hard,2025,1,135
Maxime Cressy,Clay,2022,2,314
Maxime Cressy,Clay,2023,2,312
Maxime Cressy,Grass,2022,7,1360
Maxime Cressy,Grass,2023,2,394
Maxime Cressy,Grass,2024,1,230
Maxime Cressy,Hard,2021,2,427
Maxime Cressy,Hard,2022,14,2135
Maxime Cressy,Hard,2023,3,464
Maximilian Marterer,Clay,2018,1,95
Maximilian Marterer,Clay,2019,1,114
Maximilian Marterer,Clay,2023,1,100
Maximilian Marterer,Clay,2024,1,180
Maximilian Marterer,Clay,2025,1,110
Maximilian Marterer,Hard,2019,1,86
Maximilian Marterer,Hard,2023,1,231
Maximilian Neuchrist,Clay,2022,1,159
Maximo Gonzalez,Clay,2014,1,107
Maximo Gonzalez,Hard,2008,1,151
Mees Rottgering,Hard,2025,2,370
Michael Berrer,Clay,2010,1,70
Michael Berrer,Grass,2015,1,145
Michael Berrer,Hard,2011,1,142
Michael Berrer,Hard,2015,2,395
Michael Chang,Clay,1989,1,309
Michael Chang,Clay,1990,1,229
Michael Chang,Clay,1991,1,184
Michael Chang,Clay,1995,1,176
Michael Chang,Clay,1996,1,223
Michael Chang,Grass,1990,1,150
Michael Chang,Grass,1994,1,155
Michael Chang,Grass,1995,1,199
Michael Chang,Hard,1990,3,625
Michael Chang,Hard,1991,4,1035
Michael Chang,Hard,1992,2,521
Michael Chang,Hard,1993,3,569
Michael Chang,Hard,1994,4,649
Michael Chang,Hard,1995,4,740
Michael Chang,Hard,1996,6,1051
Michael Chang,Hard,1997,2,379
Michael Chang,Hard,1998,1,102
Michael Geerts,Hard,2022,1,84
Michael Geerts,Hard,2025,1,245
Michael Llodra,Hard,2010,2,380
Michael Llodra,Hard,2012,2,256
Michael Mmoh,Hard,2016,1,77
Michael Mmoh,Hard,2017,1,85
Michael Mmoh,Hard,2023,2,563
Michael Mmoh,Hard,2025,1,92
Michael Redlicki,Hard,2019,1,134
Michael Russell,Clay,2001,1,312
Michael Stich,Clay,1991,1,249
Michael Stich,Clay,1992,2,305
Michael Stich,Clay,1993,3,696
Michael Stich,Clay,1995,1,378
Michael Stich,Clay,1996,3,595
Michael Stich,Grass,1991,4,1020
Michael Stich,Grass,1992,1,145
Michael Stich,Grass,1993,1,371
Michael Stich,Grass,1996,1,202
Michael Stich,Grass,1997,3,683
Michael Stich,Hard,1990,2,358
Michael Stich,Hard,1991,3,545
Michael Stich,Hard,1992,2,634
Michael Stich,Hard,1993,8,1952
Michael Stich,Hard,1994,6,1130
Michael Stich,Hard,1995,1,323
Michael Stich,Hard,1996,2,373
Michael Westphal,Hard,1985,1,222
Michael Zheng,Clay,2026,1,141
Michael Zheng,Grass,2022,1,174
Michael Zheng,Hard,2025,1,166
Michael Zheng,Hard,2026,1,210
Michal Przysiezny,Grass,2014,1,130
Michal Przysiezny,Hard,2014,1,99
Michel Kratochvil,Hard,2001,1,116
Michiel Schapers,Hard,1991,1,146
Mikael Pernfors,Clay,1986,2,419
Mikael Pernfors,Grass,1987,1,265
Mikael Pernfors,Hard,1990,1,234
Mikael Pernfors,Hard,1993,3,662
Mikael Tillstrom,Grass,1997,1,171
Mikael Tillstrom,Hard,1999,1,161
Mikael Tillstrom,Hard,2000,1,178
Mikael Ymer,Clay,2021,2,448
Mikael Ymer,Grass,2019,1,122
Mikael Ymer,Grass,2022,1,246
Mikael Ymer,Hard,2016,1,113
Mikael Ymer,Hard,2019,1,194
Mikael Ymer,Hard,2020,1,110
Mikael Ymer,Hard,2021,2,594
Mikael Ymer,Hard,2022,3,336
Mikael Ymer,Hard,2023,2,401
Mike Bryan,Hard,2001,1,139
Mikhail Kukushkin,Clay,2015,2,193
Mikhail Kukushkin,Grass,2014,1,228
Mikhail Kukushkin,Grass,2019,1,242
Mikhail Kukushkin,Hard,2015,1,93
Mikhail Kukushkin,Hard,2019,7,922
Mikhail Kukushkin,Hard,2020,2,532
Mikhail Kukushkin,Hard,2021,2,361
Mikhail Kukushkin,Hard,2022,1,148
Mikhail Youzhny,Clay,2002,1,283
Mikhail Youzhny,Clay,2010,1,212
Mikhail Youzhny,Clay,2011,1,153
Mikhail Youzhny,Clay,2012,1,148
Mikhail Youzhny,Clay,2014,1,201
Mikhail Youzhny,Grass,2011,1,254
Mikhail Youzhny,Grass,2012,2,357
Mikhail Youzhny,Grass,2013,1,319
Mikhail Youzhny,Hard,2004,1,99
Mikhail Youzhny,Hard,2006,2,504
Mikhail Youzhny,Hard,2007,3,623
Mikhail Youzhny,Hard,2008,2,257
Mikhail Youzhny,Hard,2009,4,575
Mikhail Youzhny,Hard,2010,5,843
Mikhail Youzhny,Hard,2011,3,630
Mikhail Youzhny,Hard,2012,2,218
Mikhail Youzhny,Hard,2013,2,412
Mikhail Youzhny,Hard,2015,2,253
Mikhail Youzhny,Hard,2016,1,226
Mikhail Youzhny,Hard,2017,1,317
Mikhail Youzhny,Hard,2018,1,145
Mili Poljicak,Clay,2022,1,147
Mili Poljicak,Grass,2022,1,174
Miljan Zekic,Clay,2022,1,137
Milos Raonic,Clay,2014,1,235
Milos Raonic,Clay,2015,1,43
Milos Raonic,Clay,2016,1,133
Milos Raonic,Clay,2017,1,101
Milos Raonic,Clay,2018,1,167
Milos Raonic,Grass,2012,1,193
Milos Raonic,Grass,2014,1,164
Milos Raonic,Grass,2016,2,544
Milos Raonic,Grass,2017,1,185
Milos Raonic,Grass,2018,2,380
Milos Raonic,Grass,2019,2,391
Milos Raonic,Grass,2023,3,646
Milos Raonic,Hard,2011,4,656
Milos Raonic,Hard,2012,4,760
Milos Raonic,Hard,2013,4,551
Milos Raonic,Hard,2014,6,1139
Milos Raonic,Hard,2015,10,1671
Milos Raonic,Hard,2016,16,2596
Milos Raonic,Hard,2017,3,577
Milos Raonic,Hard,2018,2,214
Milos Raonic,Hard,2019,8,1345
Milos Raonic,Hard,2020,2,494
Milos Raonic,Hard,2021,2,288
Milos Raonic,Hard,2023,2,267
Milos Raonic,Hard,2024,2,264
Milos Sekulic,Clay,2012,1,102
Miloslav Mecir,Clay,1985,1,255
Miloslav Mecir,Clay,1987,2,374
Miloslav Mecir,Grass,1988,1,308
Miloslav Mecir,Hard,1986,2,482
Miloslav Mecir,Hard,1989,2,324
Miloslav Mecir,Hard,1990,1,298
Miloslav Mecir Jr,Grass,2014,1,104
Minhtuan Pham,Hard,2023,1,94
Miomir Kecmanovic,Clay,2021,1,134
Miomir Kecmanovic,Clay,2022,5,724
Miomir Kecmanovic,Clay,2023,2,243
Miomir Kecmanovic,Clay,2024,2,266
Miomir Kecmanovic,Clay,2025,1,144
Miomir Kecmanovic,Grass,2019,1,142
Miomir Kecmanovic,Grass,2023,1,131
Miomir Kecmanovic,Grass,2024,2,242
Miomir Kecmanovic,Grass,2025,1,158
Miomir Kecmanovic,Hard,2019,6,1004
Miomir Kecmanovic,Hard,2020,3,424
Miomir Kecmanovic,Hard,2021,2,373
Miomir Kecmanovic,Hard,2022,7,1298
Miomir Kecmanovic,Hard,2023,4,535
Miomir Kecmanovic,Hard,2024,3,790
Miomir Kecmanovic,Hard,2025,5,1018
Miomir Kecmanovic,Hard,2026,1,284
Mirza Basic,Clay,2018,1,181
Mirza Basic,Hard,2017,1,152
Mirza Basic,Hard,2018,1,145
Mirza Basic,Hard,2019,1,270
Mischa Zverev,Clay,2018,1,109
Mischa Zverev,Grass,2013,1,76
Mischa Zverev,Grass,2018,2,292
Mischa Zverev,Hard,2015,1,82
Mischa Zverev,Hard,2017,4,504
Mischa Zverev,Hard,2018,1,89
Mischa Zverev,Hard,2019,2,221
Mischa Zverev,Hard,2020,1,125
Mitchell Krueger,Hard,2013,1,99
Mitchell Krueger,Hard,2019,1,163
Moez Echargui,Clay,2024,1,171
Moez Echargui,Hard,2025,1,145
Mohamed Safwat,Clay,2014,1,81
Mohamed Safwat,Clay,2019,4,562
Mohamed Safwat,Hard,2020,2,236
Moise Kouame,Clay,2026,1,136
Moise Kouame,Hard,2026,1,168
Mubarak Shannan Zayid,Hard,2026,1,80
Murphy Cassone,Hard,2025,1,193
