scope,direction,metric,threshold,stratum_type,stratum,eligible_rows,total_rows,coverage_rate,complete_matches,total_matches,complete_match_rate,covered_players
server_global,wide,direction_matches,3,derived_period,to_2009,3210,3912,0.8205521472392638,1317,1956,0.6733128834355828,126
server_global,wide,direction_matches,3,derived_period,2010s,3717,4464,0.8326612903225806,1626,2232,0.728494623655914,181
server_global,wide,direction_matches,3,derived_period,2020s,6029,6672,0.9036270983213429,2815,3336,0.8438249400479616,243
server_global,wide,direction_matches,5,overall,Overall,12191,15048,0.8101408825093036,5172,7524,0.6874003189792663,327
server_global,wide,direction_matches,5,surface,Hard,8043,9646,0.8338171262699564,3475,4823,0.7205059091851544,310
server_global,wide,direction_matches,5,surface,Clay,2819,3744,0.7529380341880342,1147,1872,0.6127136752136753,253
server_global,wide,direction_matches,5,surface,Grass,1329,1658,0.8015681544028951,550,829,0.6634499396863691,206
server_global,wide,direction_matches,5,derived_period,to_2009,2973,3912,0.7599693251533742,1132,1956,0.5787321063394683,102
server_global,wide,direction_matches,5,derived_period,2010s,3439,4464,0.7703853046594982,1424,2232,0.6379928315412187,148
server_global,wide,direction_matches,5,derived_period,2020s,5779,6672,0.8661570743405276,2616,3336,0.7841726618705036,212
server_global,wide,direction_matches,10,overall,Overall,10736,15048,0.7134502923976608,4050,7524,0.5382775119617225,236
server_global,wide,direction_matches,10,surface,Hard,7100,9646,0.736056396433755,2726,4823,0.5652083765291313,224
server_global,wide,direction_matches,10,surface,Clay,2445,3744,0.6530448717948718,887,1872,0.4738247863247863,190
server_global,wide,direction_matches,10,surface,Grass,1191,1658,0.718335343787696,437,829,0.5271411338962606,159
server_global,wide,direction_matches,10,derived_period,to_2009,2540,3912,0.6492842535787321,806,1956,0.4120654396728016,64
server_global,wide,direction_matches,10,derived_period,2010s,2954,4464,0.6617383512544803,1070,2232,0.47939068100358423,96
server_global,wide,direction_matches,10,derived_period,2020s,5242,6672,0.7856714628297362,2174,3336,0.6516786570743405,164
server_global,wide,direction_matches,20,overall,Overall,8829,15048,0.5867224880382775,2778,7524,0.36921850079744817,154
server_global,wide,direction_matches,20,surface,Hard,5880,9646,0.6095791001451378,1900,4823,0.3939456769645449,149
server_global,wide,direction_matches,20,surface,Clay,1969,3744,0.5259081196581197,593,1872,0.31677350427350426,141
server_global,wide,direction_matches,20,surface,Grass,980,1658,0.5910735826296744,285,829,0.34378769601930037,113
server_global,wide,direction_matches,20,derived_period,to_2009,2042,3912,0.5219836400817995,503,1956,0.25715746421267893,41
server_global,wide,direction_matches,20,derived_period,2010s,2371,4464,0.5311379928315412,706,2232,0.3163082437275986,57
server_global,wide,direction_matches,20,derived_period,2020s,4416,6672,0.6618705035971223,1569,3336,0.47032374100719426,109
server_global,body,direction_points,0,overall,Overall,15048,15048,1.0,7524,7524,1.0,1002
server_global,body,direction_points,0,surface,Hard,9646,9646,1.0,4823,4823,1.0,753
server_global,body,direction_points,0,surface,Clay,3744,3744,1.0,1872,1872,1.0,587
server_global,body,direction_points,0,surface,Grass,1658,1658,1.0,829,829,1.0,359
server_global,body,direction_points,0,derived_period,to_2009,3912,3912,1.0,1956,1956,1.0,357
server_global,body,direction_points,0,derived_period,2010s,4464,4464,1.0,2232,2232,1.0,412
server_global,body,direction_points,0,derived_period,2020s,6672,6672,1.0,3336,3336,1.0,470
server_global,body,direction_points,10,overall,Overall,13727,15048,0.9122142477405635,6382,7524,0.8482190324295588,540
server_global,body,direction_points,10,surface,Hard,8928,9646,0.9255650010366991,4200,4823,0.8708272859216255,472
server_global,body,direction_points,10,surface,Clay,3294,3744,0.8798076923076923,1491,1872,0.7964743589743589,371
server_global,body,direction_points,10,surface,Grass,1505,1658,0.9077201447527141,691,829,0.8335343787696019,273
server_global,body,direction_points,10,derived_period,to_2009,3466,3912,0.8859918200408998,1538,1956,0.7862985685071575,173
server_global,body,direction_points,10,derived_period,2010s,3983,4464,0.8922491039426523,1835,2232,0.8221326164874552,229
server_global,body,direction_points,10,derived_period,2020s,6278,6672,0.940947242206235,3009,3336,0.9019784172661871,312
server_global,body,direction_points,25,overall,Overall,13060,15048,0.8678894205209995,5846,7524,0.7769803296119085,426
server_global,body,direction_points,25,surface,Hard,8544,9646,0.885755753680282,3879,4823,0.8042712004976156,389
server_global,body,direction_points,25,surface,Clay,3082,3744,0.8231837606837606,1334,1872,0.7126068376068376,308
server_global,body,direction_points,25,surface,Grass,1434,1658,0.864897466827503,633,829,0.7635705669481303,247
server_global,body,direction_points,25,derived_period,to_2009,3271,3912,0.8361451942740287,1372,1956,0.7014314928425358,135
server_global,body,direction_points,25,derived_period,2010s,3713,4464,0.8317652329749103,1621,2232,0.7262544802867383,183
server_global,body,direction_points,25,derived_period,2020s,6076,6672,0.9106714628297362,2853,3336,0.8552158273381295,260
server_global,body,direction_points,50,overall,Overall,12168,15048,0.8086124401913876,5143,7524,0.6835459861775651,333
server_global,body,direction_points,50,surface,Hard,8017,9646,0.8311217084801991,3447,4823,0.714700393945677,316
server_global,body,direction_points,50,surface,Clay,2816,3744,0.7521367521367521,1143,1872,0.6105769230769231,256
server_global,body,direction_points,50,surface,Grass,1335,1658,0.8051869722557298,553,829,0.6670687575392038,207
server_global,body,direction_points,50,derived_period,to_2009,2988,3912,0.7638036809815951,1146,1956,0.5858895705521472,99
server_global,body,direction_points,50,derived_period,2010s,3405,4464,0.7627688172043011,1383,2232,0.6196236559139785,140
server_global,body,direction_points,50,derived_period,2020s,5775,6672,0.8655575539568345,2614,3336,0.7835731414868106,219
server_global,body,direction_points,100,overall,Overall,10860,15048,0.7216905901116427,4145,7524,0.5509037745879851,245
server_global,body,direction_points,100,surface,Hard,7206,9646,0.7470454074227659,2808,4823,0.5822102425876011,235
server_global,body,direction_points,100,surface,Clay,2437,3744,0.6509081196581197,881,1872,0.4706196581196581,201
server_global,body,direction_points,100,surface,Grass,1217,1658,0.7340168878166465,456,829,0.5500603136308806,170
server_global,body,direction_points,100,derived_period,to_2009,2633,3912,0.6730572597137015,869,1956,0.4442740286298569,71
server_global,body,direction_points,100,derived_period,2010s,2999,4464,0.6718189964157706,1101,2232,0.4932795698924731,100
server_global,body,direction_points,100,derived_period,2020s,5228,6672,0.7835731414868106,2175,3336,0.6519784172661871,165
server_global,body,direction_points,250,overall,Overall,8425,15048,0.5598750664540139,2484,7524,0.33014354066985646,133
server_global,body,direction_points,250,surface,Hard,5643,9646,0.5850093302923491,1720,4823,0.3566245075679038,129
server_global,body,direction_points,250,surface,Clay,1824,3744,0.48717948717948717,495,1872,0.2644230769230769,121
server_global,body,direction_points,250,surface,Grass,958,1658,0.5778045838359469,269,829,0.32448733413751507,105
server_global,body,direction_points,250,derived_period,to_2009,2045,3912,0.5227505112474438,493,1956,0.25204498977505113,37
server_global,body,direction_points,250,derived_period,2010s,2245,4464,0.5029121863799283,636,2232,0.2849462365591398,53
server_global,body,direction_points,250,derived_period,2020s,4135,6672,0.6197541966426858,1355,3336,0.40617505995203834,94
