scorer,direction,fold_or_pooled,n_points,n_matches,n_orientations,mean_score,observed_rate,calibration_gap,brier_score,log_loss,server_component_mean,opponent_component_mean,combined_gap_mean
population_only,wide,2020,3088,129,257,0.5163933595521086,0.5022668393782384,0.014126520173870283,0.2501971977605977,0.6935418381022429,-0.0004471173277574999,0.0025633372209892236,0.0010581099466158617
population_only,wide,2021,5054,266,520,0.5164587612804535,0.5197863078749505,-0.003327546594496966,0.24953929024560526,0.6922252038394029,0.00472580225407534,-0.0038284527230882806,0.0004486747654935326
population_only,wide,2022,10024,500,969,0.5159179846517135,0.5189545091779728,-0.0030365245262593543,0.24959235201572696,0.692331502536032,0.005234800409743215,-0.0034657086124026495,0.0008845458986702845
population_only,wide,2023,10281,484,954,0.5164475974462833,0.5149304542359693,0.0015171432103140425,0.2498079780245563,0.6927631624020424,0.007707070529765456,-0.00943409153239781,-0.0008635105013161766
population_only,wide,pooled,28447,1379,2700,0.5162570710901795,0.5158364678173445,0.0004206032728349962,0.24972651169761753,0.6926000080971861,0.0054210826346457,-0.005032712514478837,0.00019418506008343287
population_only,body,2020,3340,125,244,0.5084659189406366,0.49700598802395207,0.011459930916684569,0.2501220470475091,0.6933913128876158,-0.005371323433648486,-0.0036228673421417773,-0.0044970953878951305
population_only,body,2021,6653,268,526,0.5086471878084666,0.5018788516458741,0.0067683361625925365,0.250065917878487,0.6932792132064635,0.0025498351605008768,-0.006704514891080973,-0.0020773398652900476
population_only,body,2022,10479,502,964,0.5074062606470499,0.509686038744155,-0.002279778097105112,0.24992984378746702,0.6930069290847918,0.002570376563840729,-0.004685556473328149,-0.0010575899547437106
population_only,body,2023,10678,481,944,0.5075305690902561,0.4991571455328713,0.00837342355738474,0.24998573330695897,0.6931185692880847,6.752395754985211e-05,-0.01008964510736577,-0.005011060574907961
population_only,body,pooled,31150,1376,2678,0.5078275291113208,0.5030497592295345,0.004777769881786242,0.2499986735821775,0.6931445676804154,0.0008564953414327671,-0.006855303089360277,-0.002999403873963755
population_only,T,2020,2183,126,241,0.5040168976074634,0.48236371965185526,0.021653177955608116,0.2501736799955828,0.6934945509469405,0.0012842903545798084,-0.0006945705668014526,0.0002948598938891759
population_only,T,2021,4401,265,491,0.5036056979838511,0.48761645080663485,0.01598924717721628,0.25008721131187084,0.6933216435092985,-0.008118654974133303,-0.010483120255999885,-0.009300887615066594
population_only,T,2022,8001,472,914,0.50238258386769,0.5116860392450944,-0.009303455377404402,0.24989411588416727,0.6929352975606996,-0.002770387418233043,-0.004793380397365294,-0.003781883907799169
population_only,T,2023,8209,476,921,0.5029882198603176,0.5066390546960653,-0.003650834835747685,0.24992665606562978,0.6930004534209022,-0.0028794827783374718,-0.006896372205519302,-0.004887927491928387
population_only,T,pooled,22794,1339,2567,0.5029933717058329,0.5024129156795648,0.0005804560262681058,0.24996989125409658,0.6930869174219942,-0.0034539851960063094,-0.006256761243678631,-0.004855373219842471
server_only,wide,2020,3088,129,257,0.515946242224351,0.5022668393782384,0.013679402846112687,0.25138768673536266,0.6960057466247208,-0.0004471173277574999,0.0025633372209892236,0.0010581099466158617
server_only,wide,2021,5054,266,520,0.5211845635345289,0.5197863078749505,0.0013982556595784068,0.24916308965215936,0.6914997595059095,0.00472580225407534,-0.0038284527230882806,0.0004486747654935326
server_only,wide,2022,10024,500,969,0.5211527850614566,0.5189545091779728,0.002198275883483758,0.24936737169119724,0.6919176507238263,0.005234800409743215,-0.0034657086124026495,0.0008845458986702845
server_only,wide,2023,10281,484,954,0.5241546679760487,0.5149304542359693,0.009224213740079423,0.2502596063492435,0.6937020198033624,0.007707070529765456,-0.00943409153239781,-0.0008635105013161766
server_only,wide,pooled,28447,1379,2700,0.5216781537248252,0.5158364678173445,0.005841685907480687,0.24987285050971794,0.6929320675844205,0.0054210826346457,-0.005032712514478837,0.00019418506008343287
server_only,body,2020,3340,125,244,0.5030945955069882,0.49700598802395207,0.006088607483036135,0.2518941424336067,0.6970419666074743,-0.005371323433648486,-0.0036228673421417773,-0.0044970953878951305
server_only,body,2021,6653,268,526,0.5111970229689676,0.5018788516458741,0.009318171323093538,0.251342808914616,0.6958719498077083,0.0025498351605008768,-0.006704514891080973,-0.0020773398652900476
server_only,body,2022,10479,502,964,0.5099766372108905,0.509686038744155,0.00029059846673551437,0.2508575572622947,0.6949120758586844,0.002570376563840729,-0.004685556473328149,-0.0010575899547437106
server_only,body,2023,10678,481,944,0.5075980930478059,0.4991571455328713,0.008440947514934571,0.25073902394356645,0.6946545183338809,6.752395754985211e-05,-0.01008964510736577,-0.005011060574907961
server_only,body,pooled,31150,1376,2678,0.5086840244527536,0.5030497592295345,0.0056342652232190815,0.2510317105508243,0.6952571698308823,0.0008564953414327671,-0.006855303089360277,-0.002999403873963755
server_only,T,2020,2183,126,241,0.505301187962043,0.48236371965185526,0.02293746831018778,0.2494697040934869,0.6921119667202073,0.0012842903545798084,-0.0006945705668014526,0.0002948598938891759
server_only,T,2021,4401,265,491,0.49548704300971774,0.48761645080663485,0.007870592203082893,0.2506956873216996,0.6946022388474641,-0.008118654974133303,-0.010483120255999885,-0.009300887615066594
server_only,T,2022,8001,472,914,0.4996121964494569,0.5116860392450944,-0.012073842795637446,0.2513724761571826,0.6959613811354641,-0.002770387418233043,-0.004793380397365294,-0.003781883907799169
server_only,T,2023,8209,476,921,0.5001087370819801,0.5066390546960653,-0.006530317614085179,0.251393590538862,0.6959785788692644,-0.0028794827783374718,-0.006896372205519302,-0.004887927491928387
server_only,T,pooled,22794,1339,2567,0.49953938650982666,0.5024129156795648,-0.0028735291697381538,0.2510671777838913,0.6953364938545469,-0.0034539851960063094,-0.006256761243678631,-0.004855373219842471
opponent_only,wide,2020,3088,129,257,0.5189566967730979,0.5022668393782384,0.01668985739485951,0.2506776170072573,0.6945530111238061,-0.0004471173277574999,0.0025633372209892236,0.0010581099466158617
opponent_only,wide,2021,5054,266,520,0.5126303085573652,0.5197863078749505,-0.00715599931758526,0.25044933441436473,0.6940971988085741,0.00472580225407534,-0.0038284527230882806,0.0004486747654935326
opponent_only,wide,2022,10024,500,969,0.5124522760393108,0.5189545091779728,-0.00650223313866205,0.25021937285488804,0.6936169161926866,0.005234800409743215,-0.0034657086124026495,0.0008845458986702845
opponent_only,wide,2023,10281,484,954,0.5070135059138854,0.5149304542359693,-0.007916948322083894,0.2504304314947836,0.6940520649049706,0.007707070529765456,-0.00943409153239781,-0.0008635105013161766
opponent_only,wide,pooled,28447,1379,2700,0.5112243585757007,0.5158364678173445,-0.0046121092416437914,0.25038625082236715,0.693961127301028,0.0054210826346457,-0.005032712514478837,0.00019418506008343287
opponent_only,body,2020,3340,125,244,0.504843051598495,0.49700598802395207,0.00783706357454289,0.25186706264483527,0.696934748155927,-0.005371323433648486,-0.0036228673421417773,-0.0044970953878951305
opponent_only,body,2021,6653,268,526,0.5019426729173857,0.5018788516458741,6.382127151161043e-05,0.24992209650829808,0.6930163859039352,0.0025498351605008768,-0.006704514891080973,-0.0020773398652900476
opponent_only,body,2022,10479,502,964,0.5027207041737217,0.509686038744155,-0.006965334570433246,0.2502545303346357,0.6937140783137408,0.002570376563840729,-0.004685556473328149,-0.0010575899547437106
opponent_only,body,2023,10678,481,944,0.49744092398289025,0.4991571455328713,-0.0017162215499810785,0.2499916462436565,0.6931802601852708,6.752395754985211e-05,-0.01008964510736577,-0.005011060574907961
opponent_only,body,pooled,31150,1376,2678,0.5009722260219606,0.5030497592295345,-0.0020775332075739783,0.2502663152253569,0.6937274067148537,0.0008564953414327671,-0.006855303089360277,-0.002999403873963755
opponent_only,T,2020,2183,126,241,0.5033223270406619,0.48236371965185526,0.02095860738880667,0.252445215002066,0.6981142631709967,0.0012842903545798084,-0.0006945705668014526,0.0002948598938891759
opponent_only,T,2021,4401,265,491,0.49312257772785123,0.48761645080663485,0.005506126921216381,0.25069177200434023,0.694567510934883,-0.008118654974133303,-0.010483120255999885,-0.009300887615066594
opponent_only,T,2022,8001,472,914,0.49758920347032465,0.5116860392450944,-0.014096835774769723,0.25059776817468693,0.6943885986542834,-0.002770387418233043,-0.004793380397365294,-0.003781883907799169
opponent_only,T,2023,8209,476,921,0.49609184765479836,0.5066390546960653,-0.010547207041266937,0.25112500630879814,0.695442063375395,-0.0028794827783374718,-0.006896372205519302,-0.004887927491928387
opponent_only,T,pooled,22794,1339,2567,0.4967366104621543,0.5024129156795648,-0.005676305217410527,0.2509827284765818,0.6951593458018884,-0.0034539851960063094,-0.006256761243678631,-0.004855373219842471
server_opponent_equal,wide,2020,3088,129,257,0.5174514694987244,0.5022668393782384,0.015184630120486098,0.24991433108459782,0.6929809857128014,-0.0004471173277574999,0.0025633372209892236,0.0010581099466158617
server_opponent_equal,wide,2021,5054,266,520,0.5169074360459471,0.5197863078749505,-0.002878871829003371,0.24875737221846086,0.6906545229865646,0.00472580225407534,-0.0038284527230882806,0.0004486747654935326
server_opponent_equal,wide,2022,10024,500,969,0.5168025305503836,0.5189545091779728,-0.0021519786275892017,0.248698893792493,0.6905370629972158,0.005234800409743215,-0.0034657086124026495,0.0008845458986702845
server_opponent_equal,wide,2023,10281,484,954,0.515584086944967,0.5149304542359693,0.0006536327089977645,0.24939136991436886,0.6919326428126347,0.007707070529765456,-0.00943409153239781,-0.0008635105013161766
server_opponent_equal,wide,pooled,28447,1379,2700,0.516451256150263,0.5158364678173445,0.0006147883329185033,0.24909148940299206,0.6913276009173557,0.0054210826346457,-0.005032712514478837,0.00019418506008343287
server_opponent_equal,body,2020,3340,125,244,0.5039688235527415,0.49700598802395207,0.006962835528789457,0.25066290081870896,0.6944775709603297,-0.005371323433648486,-0.0036228673421417773,-0.0044970953878951305
