aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,shot_type_code,shot_type_description,shot_type_family,attempts,matches,servers,returners,returner_wins,returner_losses,returner_win_rate,wilson_95_lower,wilson_95_upper
code,serve_number,1,ALL,ALL,ALL,l,globo de derecha,lob,904,637,247,254,163,741,0.180309734513274,0.156617999012816,0.206706957801962
code,serve_number,2,ALL,ALL,ALL,l,globo de derecha,lob,89,83,62,70,23,66,0.258426966292135,0.178815434861304,0.35802941283711
code,serve_number,1,ALL,ALL,ALL,m,globo de revés,lob,2650,1443,365,382,445,2205,0.167924528301887,0.15417547063981,0.182634950287858
code,serve_number,2,ALL,ALL,ALL,m,globo de revés,lob,177,154,81,113,38,139,0.214689265536723,0.160599164003644,0.280900585784692
code,serve_number,1,ALL,ALL,ALL,h,media volea de derecha,half_volley,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
code,serve_number,2,ALL,ALL,ALL,h,media volea de derecha,half_volley,12,10,9,4,4,8,0.333333333333333,0.138120091091213,0.6093779111272
code,serve_number,1,ALL,ALL,ALL,i,media volea de revés,half_volley,2,2,2,2,1,1,0.5,0.0945312057342307,0.905468794265769
code,serve_number,2,ALL,ALL,ALL,i,media volea de revés,half_volley,36,16,15,1,19,17,0.527777777777778,0.370059380229876,0.680139584848209
code,serve_number,1,ALL,ALL,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,serve_number,2,ALL,ALL,ALL,j,volea liftada de derecha,swinging_volley,0,0,0,0,0,0,,,
code,serve_number,1,ALL,ALL,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
code,serve_number,2,ALL,ALL,ALL,k,volea liftada de revés,swinging_volley,0,0,0,0,0,0,,,
