aggregation_level,group_type,serve_number,surface,derived_period,validation_fold,terminal_class,unforced_error_code,expected_returner_won_point,attempts,concordant,discordant,concordance_rate,concordance_wilson_low,concordance_wilson_high,returner_wins,returner_win_rate,returner_win_wilson_low,returner_win_wilson_high
terminal_class,validation_fold,0,ALL,ALL,validation_2020,forced_error,,False,448,448,0,1.0,0.9914982152573595,1.0,0,0.0,0.0,0.008501784742640326
terminal_class,validation_fold,0,ALL,ALL,validation_2020,unforced_error,,False,1253,1253,0,1.0,0.9969435613428137,1.0,0,0.0,0.0,0.0030564386571864054
terminal_class,validation_fold,0,ALL,ALL,validation_2021,winner,,True,763,763,0,1.0,0.9949905436430082,1.0,763,1.0,0.9949905436430082,1.0
terminal_class,validation_fold,0,ALL,ALL,validation_2021,forced_error,,False,1365,1365,0,1.0,0.9971936422615344,1.0,0,0.0,0.0,0.0028063577384656946
terminal_class,validation_fold,0,ALL,ALL,validation_2021,unforced_error,,False,2426,2426,0,1.0,0.9984190496022902,1.0,0,0.0,0.0,0.0015809503977097126
terminal_class,validation_fold,0,ALL,ALL,validation_2022,winner,,True,1244,1244,0,1.0,0.9969215169174418,1.0,1244,1.0,0.9969215169174418,1.0
terminal_class,validation_fold,0,ALL,ALL,validation_2022,forced_error,,False,982,982,0,1.0,0.9961033705913631,1.0,0,0.0,0.0,0.0038966294086368036
terminal_class,validation_fold,0,ALL,ALL,validation_2022,unforced_error,,False,4125,4125,0,1.0,0.9990696036990019,1.0,0,0.0,0.0,0.0009303963009980401
terminal_class,validation_fold,0,ALL,ALL,validation_2023,winner,,True,1264,1264,0,1.0,0.9969700795048402,1.0,1264,1.0,0.9969700795048402,1.0
terminal_class,validation_fold,0,ALL,ALL,validation_2023,forced_error,,False,479,479,0,1.0,0.9920440576290267,1.0,0,0.0,0.0,0.007955942370973312
terminal_class,validation_fold,0,ALL,ALL,validation_2023,unforced_error,,False,4338,4338,0,1.0,0.999115246639674,1.0,0,0.0,0.0,0.000884753360325948
unforced_error_code,total,0,ALL,ALL,ALL,unforced_error,n,False,14541,14541,0,1.0,0.9997358885738583,1.0,0,0.0,0.0,0.00026411142614170464
unforced_error_code,total,0,ALL,ALL,ALL,unforced_error,w,False,8063,8063,0,1.0,0.9995237964152013,1.0,0,0.0,0.0,0.00047620358479881606
unforced_error_code,total,0,ALL,ALL,ALL,unforced_error,d,False,15158,15156,2,0.9998680564718301,0.9995190006176161,0.9999638155797442,2,0.00013194352816994325,3.6184420255766254e-05,0.00048099938238399846
unforced_error_code,total,0,ALL,ALL,ALL,unforced_error,x,False,1480,1480,0,1.0,0.9974111393115092,1.0,0,0.0,0.0,0.002588860688491063
unforced_error_code,total,0,ALL,ALL,ALL,unforced_error,e,False,10,10,0,1.0,0.7224672001371107,1.0,0,0.0,0.0,0.2775327998628892
unforced_error_code,total,0,ALL,ALL,ALL,unforced_error,!,False,421,421,0,1.0,0.990957900315667,1.0,0,0.0,0.0,0.009042099684332894
unforced_error_code,serve_number,1,ALL,ALL,ALL,unforced_error,n,False,713,713,0,1.0,0.9946411319080041,1.0,0,0.0,0.0,0.00535886809199606
unforced_error_code,serve_number,2,ALL,ALL,ALL,unforced_error,n,False,13828,13828,0,1.0,0.9997222742299259,1.0,0,0.0,0.0,0.00027772577007412056
unforced_error_code,serve_number,1,ALL,ALL,ALL,unforced_error,w,False,345,345,0,1.0,0.9889879521955884,1.0,0,0.0,0.0,0.011012047804411488
unforced_error_code,serve_number,2,ALL,ALL,ALL,unforced_error,w,False,7718,7718,0,1.0,0.9995025203714453,1.0,0,0.0,0.0,0.0004974796285549233
unforced_error_code,serve_number,1,ALL,ALL,ALL,unforced_error,d,False,822,822,0,1.0,0.9953484306465072,1.0,0,0.0,0.0,0.004651569353492798
unforced_error_code,serve_number,2,ALL,ALL,ALL,unforced_error,d,False,14336,14334,2,0.9998604910714286,0.9994914289826686,0.9999617407861039,2,0.00013950892857142856,3.8259213896190596e-05,0.0005085710173314151
unforced_error_code,serve_number,1,ALL,ALL,ALL,unforced_error,x,False,46,46,0,1.0,0.9229264369144198,1.0,0,0.0,0.0,0.07707356308558039
unforced_error_code,serve_number,2,ALL,ALL,ALL,unforced_error,x,False,1434,1434,0,1.0,0.9973283154431749,1.0,0,0.0,0.0,0.002671684556825103
unforced_error_code,serve_number,1,ALL,ALL,ALL,unforced_error,e,False,3,3,0,1.0,0.4385029682449546,1.0,0,0.0,0.0,0.5614970317550454
unforced_error_code,serve_number,2,ALL,ALL,ALL,unforced_error,e,False,7,7,0,1.0,0.6456695649333126,1.0,0,0.0,0.0,0.35433043506668743
unforced_error_code,serve_number,1,ALL,ALL,ALL,unforced_error,!,False,44,44,0,1.0,0.9197043962415192,1.0,0,0.0,0.0,0.08029560375848066
unforced_error_code,serve_number,2,ALL,ALL,ALL,unforced_error,!,False,377,377,0,1.0,0.9899132336259041,1.0,0,0.0,0.0,0.010086766374095689
unforced_error_code,surface,0,Hard,ALL,ALL,unforced_error,n,False,9086,9086,0,1.0,0.9995773898985919,1.0,0,0.0,0.0,0.00042261010140791957
unforced_error_code,surface,0,Hard,ALL,ALL,unforced_error,w,False,5063,5063,0,1.0,0.9992418434932464,1.0,0,0.0,0.0,0.0007581565067536618
unforced_error_code,surface,0,Hard,ALL,ALL,unforced_error,d,False,9572,9570,2,0.9997910572503134,0.9992384221594267,0.9999426984914931,2,0.0002089427496865859,5.7301508506948896e-05,0.0007615778405732348
unforced_error_code,surface,0,Hard,ALL,ALL,unforced_error,x,False,934,934,0,1.0,0.9959039358043259,1.0,0,0.0,0.0,0.004096064195674008
unforced_error_code,surface,0,Hard,ALL,ALL,unforced_error,e,False,6,6,0,1.0,0.6096657120978346,1.0,0,0.0,0.0,0.3903342879021653
unforced_error_code,surface,0,Hard,ALL,ALL,unforced_error,!,False,229,229,0,1.0,0.9835018263493515,1.0,0,0.0,0.0,0.016498173650648464
