term,variable,level,reference_level,coefficient,odds_ratio,std_error,statistic,p_value,ci_low,ci_high
Intercept,intercept,,,0.07240344755845979,1.0750889986111138,0.007087018375442757,10.21634821906842,1.675337405859459e-24,1.0602589245989047,1.090126504119635
direction[body],direction,body,wide,-0.03814861908073692,0.9625698740104083,0.0070322053609850966,-5.424844287453079,5.8005083861319547e-08,0.9493939091863349,0.9759286987068332
direction[T],direction,T,wide,-0.05150293041537554,0.9498008666470581,0.007307237135099429,-7.048208435441002,1.8123602436467578e-12,0.9362948400748706,0.9635017172703468
surface[Clay],surface,Clay,Hard,-0.03292792529005349,0.967608297163204,0.007530663432839255,-4.372513203347187,1.2282438652613799e-05,0.9534314453793608,0.9819959487140101
surface[Grass],surface,Grass,Hard,0.07477050981576311,1.0776368154338736,0.009568060489074718,7.814594180413026,5.514039250232358e-15,1.0576161451698483,1.0980364769223157
derived_period[2010s],derived_period,2010s,to_2009,-0.001189435004023188,0.9988112720934146,0.008109995144861954,-0.1466628503195527,0.8833981425988424,0.983060383054384,1.014814526612528
derived_period[2020s],derived_period,2020s,to_2009,-0.008168602078096455,0.9918646702939661,0.007403308084657645,-1.103371896007513,0.2698656961327267,0.9775764120423565,1.0063617657488364
