scorer,fold,direction,selected_scope,n_points,n_matches,n_orientations,mean_score,observed_rate,calibration_gap,brier_score,log_loss,calibration_in_the_large,ece,max_calibration_error,eligible_target_points,scored_target_points,abstained_target_points,point_coverage,delta_brier_vs_population,delta_log_loss_vs_population,delta_ece_vs_population
population_only,2020,wide,surface,2654,106,211,0.5161521671345333,0.5041446872645065,0.012007479870026816,0.2501198890043424,0.6933871418307489,0.012007479870026816,0.01500031947923933,0.015367997446230242,4015,3088,927,0.7691158156911582,0.0,0.0,0.0
population_only,2020,wide,global,434,24,46,0.5178683012024423,0.49078341013824883,0.027084891064193484,0.2506699568368684,0.6944878378823016,0.027084891064193484,0.01500031947923933,0.015367997446230242,4015,3088,927,0.7691158156911582,0.0,0.0,0.0
population_only,2020,body,surface,2905,109,209,0.5082601631247893,0.4939759036144578,0.014284259510331465,0.2501753559051341,0.6934979428431914,0.014284259510331465,0.01500031947923933,0.015367997446230242,4475,3340,1135,0.7463687150837989,0.0,0.0,0.0
population_only,2020,body,global,435,23,35,0.5098399893889973,0.5172413793103449,-0.007401389921347534,0.2497660419178525,0.6926792208854383,-0.007401389921347534,0.01500031947923933,0.015367997446230242,4475,3340,1135,0.7463687150837989,0.0,0.0,0.0
population_only,2020,T,surface,1834,106,196,0.5037351617351307,0.4830970556161396,0.020638106118991084,0.2501563278978986,0.6934598444930418,0.020638106118991084,0.01500031947923933,0.015367997446230242,2902,2183,719,0.7522398345968297,0.0,0.0,0.0
population_only,2020,T,global,349,29,45,0.5054974236529018,0.4785100286532951,0.02698739499960673,0.25026486551751076,0.6936769338594051,0.02698739499960673,0.01500031947923933,0.015367997446230242,2902,2183,719,0.7522398345968297,0.0,0.0,0.0
population_only,2021,wide,surface,3658,200,378,0.5159893262079025,0.5196828868234008,-0.0036935606154983036,0.24951405965754275,0.6921746045617173,-0.0036935606154983036,0.006120002286321709,0.012448694784106817,6870,5054,1816,0.7356622998544395,0.0,0.0,0.0
population_only,2021,wide,global,1396,84,142,0.5176888425808772,0.5200573065902578,-0.002368464009380622,0.24960540306160287,0.6923577913449714,-0.002368464009380622,0.006120002286321709,0.012448694784106817,6870,5054,1816,0.7356622998544395,0.0,0.0,0.0
population_only,2021,body,surface,4813,200,383,0.5083004615105338,0.5061292333264077,0.0021712281841260728,0.24998812143484483,0.6931236659608956,0.0021712281841260728,0.006120002286321709,0.012448694784106817,9296,6653,2643,0.715684165232358,0.0,0.0,0.0
population_only,2021,body,global,1840,80,143,0.5095541408910487,0.4907608695652174,0.01879327132583125,0.2502694147715575,0.6936860876047883,0.01879327132583125,0.006120002286321709,0.012448694784106817,9296,6653,2643,0.715684165232358,0.0,0.0,0.0
