fold,surface,recommendation_status,scope_state,orientations,matches,players,available_orientations,abstained_orientations,coverage_rate,abstention_rate,reason_code
2022,Clay,available_full,surface_common,154,85,39,197,157,0.556497175141243,0.4435028248587571,
2022,Clay,available_full,global_common,43,25,29,197,157,0.556497175141243,0.4435028248587571,
2022,Clay,abstained_incomparable_scope,mixed_incomparable,29,24,20,197,157,0.556497175141243,0.4435028248587571,mixed_direction_scopes
2022,Clay,abstained_insufficient_evidence,insufficient_evidence,128,67,92,197,157,0.556497175141243,0.4435028248587571,insufficient_direction_evidence
2022,Clay,not_available_invalid_input,invalid_input,0,0,0,197,157,0.556497175141243,0.4435028248587571,invalid_input
2022,Grass,available_full,surface_common,17,11,8,91,41,0.6893939393939394,0.3106060606060606,
2022,Grass,available_full,global_common,74,39,36,91,41,0.6893939393939394,0.3106060606060606,
2022,Grass,abstained_incomparable_scope,mixed_incomparable,11,8,10,91,41,0.6893939393939394,0.3106060606060606,mixed_direction_scopes
2022,Grass,abstained_insufficient_evidence,insufficient_evidence,30,17,22,91,41,0.6893939393939394,0.3106060606060606,insufficient_direction_evidence
2022,Grass,not_available_invalid_input,invalid_input,0,0,0,91,41,0.6893939393939394,0.3106060606060606,invalid_input
2023,<ALL>,available_full,surface_common,672,348,77,836,404,0.6741935483870968,0.3258064516129032,
2023,<ALL>,available_full,global_common,164,91,72,836,404,0.6741935483870968,0.3258064516129032,
2023,<ALL>,abstained_incomparable_scope,mixed_incomparable,77,55,45,836,404,0.6741935483870968,0.3258064516129032,mixed_direction_scopes
2023,<ALL>,abstained_insufficient_evidence,insufficient_evidence,327,173,144,836,404,0.6741935483870968,0.3258064516129032,insufficient_direction_evidence
2023,<ALL>,not_available_invalid_input,invalid_input,0,0,0,836,404,0.6741935483870968,0.3258064516129032,invalid_input
2023,Hard,available_full,surface_common,544,278,72,568,206,0.7338501291989664,0.2661498708010336,
2023,Hard,available_full,global_common,24,15,18,568,206,0.7338501291989664,0.2661498708010336,
2023,Hard,abstained_incomparable_scope,mixed_incomparable,28,21,22,568,206,0.7338501291989664,0.2661498708010336,mixed_direction_scopes
2023,Hard,abstained_insufficient_evidence,insufficient_evidence,178,93,107,568,206,0.7338501291989664,0.2661498708010336,insufficient_direction_evidence
2023,Hard,not_available_invalid_input,invalid_input,0,0,0,568,206,0.7338501291989664,0.2661498708010336,invalid_input
2023,Clay,available_full,surface_common,107,57,35,174,140,0.554140127388535,0.445859872611465,
2023,Clay,available_full,global_common,67,38,42,174,140,0.554140127388535,0.445859872611465,
2023,Clay,abstained_incomparable_scope,mixed_incomparable,35,24,24,174,140,0.554140127388535,0.445859872611465,mixed_direction_scopes
2023,Clay,abstained_insufficient_evidence,insufficient_evidence,105,57,60,174,140,0.554140127388535,0.445859872611465,insufficient_direction_evidence
2023,Clay,not_available_invalid_input,invalid_input,0,0,0,174,140,0.554140127388535,0.445859872611465,invalid_input
2023,Grass,available_full,surface_common,21,13,10,94,58,0.618421052631579,0.3815789473684211,
2023,Grass,available_full,global_common,73,38,40,94,58,0.618421052631579,0.3815789473684211,
2023,Grass,abstained_incomparable_scope,mixed_incomparable,14,10,12,94,58,0.618421052631579,0.3815789473684211,mixed_direction_scopes
2023,Grass,abstained_insufficient_evidence,insufficient_evidence,44,23,33,94,58,0.618421052631579,0.3815789473684211,insufficient_direction_evidence
2023,Grass,not_available_invalid_input,invalid_input,0,0,0,94,58,0.618421052631579,0.3815789473684211,invalid_input
pooled,<ALL>,available_full,surface_common,1844,971,109,2295,1315,0.6357340720221607,0.36426592797783935,
pooled,<ALL>,available_full,global_common,451,258,110,2295,1315,0.6357340720221607,0.36426592797783935,
pooled,<ALL>,abstained_incomparable_scope,mixed_incomparable,247,179,77,2295,1315,0.6357340720221607,0.36426592797783935,mixed_direction_scopes
pooled,<ALL>,abstained_insufficient_evidence,insufficient_evidence,1068,572,313,2295,1315,0.6357340720221607,0.36426592797783935,insufficient_direction_evidence
pooled,<ALL>,not_available_invalid_input,invalid_input,0,0,0,2295,1315,0.6357340720221607,0.36426592797783935,invalid_input
pooled,Hard,available_full,surface_common,1494,774,103,1597,769,0.6749788672865596,0.3250211327134404,
pooled,Hard,available_full,global_common,103,65,55,1597,769,0.6749788672865596,0.3250211327134404,
pooled,Hard,abstained_incomparable_scope,mixed_incomparable,120,87,64,1597,769,0.6749788672865596,0.3250211327134404,mixed_direction_scopes
pooled,Hard,abstained_insufficient_evidence,insufficient_evidence,649,346,242,1597,769,0.6749788672865596,0.3250211327134404,insufficient_direction_evidence
pooled,Hard,not_available_invalid_input,invalid_input,0,0,0,1597,769,0.6749788672865596,0.3250211327134404,invalid_input
pooled,Clay,available_full,surface_common,308,170,51,478,426,0.5287610619469026,0.47123893805309736,
pooled,Clay,available_full,global_common,170,100,73,478,426,0.5287610619469026,0.47123893805309736,
pooled,Clay,abstained_incomparable_scope,mixed_incomparable,92,68,43,478,426,0.5287610619469026,0.47123893805309736,mixed_direction_scopes
pooled,Clay,abstained_insufficient_evidence,insufficient_evidence,334,180,169,478,426,0.5287610619469026,0.47123893805309736,insufficient_direction_evidence
pooled,Clay,not_available_invalid_input,invalid_input,0,0,0,478,426,0.5287610619469026,0.47123893805309736,invalid_input
pooled,Grass,available_full,surface_common,42,27,16,220,120,0.6470588235294118,0.35294117647058826,
pooled,Grass,available_full,global_common,178,93,71,220,120,0.6470588235294118,0.35294117647058826,
pooled,Grass,abstained_incomparable_scope,mixed_incomparable,35,24,21,220,120,0.6470588235294118,0.35294117647058826,mixed_direction_scopes
pooled,Grass,abstained_insufficient_evidence,insufficient_evidence,85,46,55,220,120,0.6470588235294118,0.35294117647058826,insufficient_direction_evidence
pooled,Grass,not_available_invalid_input,invalid_input,0,0,0,220,120,0.6470588235294118,0.35294117647058826,invalid_input
