group_type,serve_number,surface,derived_period,validation_fold,state,reason_code,attempts,matches,servers,returners,denominator_attempts,proportion
validation_fold,0,ALL,ALL,pre_validation,unknown_initial_return,ambiguous_initial_return_boundary,615080,4188,709,709,1013150,0.6070966786754183
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_ace,56151,4140,656,690,1013150,0.05542219809505009
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_unreturned_serve,8744,1665,369,401,1013150,0.008630508809159552
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_service_fault,274202,4186,709,708,1013150,0.2706430439717712
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_double_fault,24265,4094,682,665,1013150,0.02395005675368899
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_special_event,12941,1155,363,353,1013150,0.012773034595074766
validation_fold,0,ALL,ALL,pre_validation,ineligible_censored,censored_incomplete_let,0,0,0,0,1013150,0.0
validation_fold,0,ALL,ALL,2020,documented_initial_return_approach,documented_approach_after_initial_return,142,60,49,49,42510,0.003340390496353799
validation_fold,0,ALL,ALL,2020,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,42510,0.0
validation_fold,0,ALL,ALL,2020,unknown_initial_return,missing_or_ambiguous_service_prefix,105,3,5,5,42510,0.0024700070571630206
validation_fold,0,ALL,ALL,2020,unknown_initial_return,unknown_or_invalid_initial_return_type,486,72,55,55,42510,0.011432604093154553
validation_fold,0,ALL,ALL,2020,unknown_initial_return,ambiguous_initial_return_boundary,26721,168,113,113,42510,0.6285815102328863
validation_fold,0,ALL,ALL,2020,ineligible_censored,censored_ace,2500,168,110,111,42510,0.058809691837214774
validation_fold,0,ALL,ALL,2020,ineligible_censored,censored_unreturned_serve,339,67,62,62,42510,0.007974594213126324
validation_fold,0,ALL,ALL,2020,ineligible_censored,censored_service_fault,11067,168,112,113,42510,0.26033874382498234
validation_fold,0,ALL,ALL,2020,ineligible_censored,censored_double_fault,1045,164,108,108,42510,0.024582451187955774
validation_fold,0,ALL,ALL,2020,ineligible_censored,censored_special_event,105,31,29,26,42510,0.0024700070571630206
validation_fold,0,ALL,ALL,2020,ineligible_censored,censored_incomplete_let,0,0,0,0,42510,0.0
validation_fold,0,ALL,ALL,2021,documented_initial_return_approach,documented_approach_after_initial_return,255,115,66,64,83356,0.0030591679063294783
validation_fold,0,ALL,ALL,2021,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,83356,0.0
validation_fold,0,ALL,ALL,2021,unknown_initial_return,missing_or_ambiguous_service_prefix,7,7,7,6,83356,8.397715821296607e-05
validation_fold,0,ALL,ALL,2021,unknown_initial_return,unknown_or_invalid_initial_return_type,1277,167,88,96,83356,0.015319833005422525
validation_fold,0,ALL,ALL,2021,unknown_initial_return,ambiguous_initial_return_boundary,52020,371,166,166,83356,0.6240702528912135
validation_fold,0,ALL,ALL,2021,ineligible_censored,censored_ace,4715,366,153,160,83356,0.05656461442487643
validation_fold,0,ALL,ALL,2021,ineligible_censored,censored_unreturned_serve,856,111,81,86,83356,0.010269206775756995
validation_fold,0,ALL,ALL,2021,ineligible_censored,censored_service_fault,21959,371,166,165,83356,0.26343634531407456
validation_fold,0,ALL,ALL,2021,ineligible_censored,censored_double_fault,2018,360,156,146,83356,0.024209415039109363
validation_fold,0,ALL,ALL,2021,ineligible_censored,censored_special_event,249,28,31,31,83356,0.002987187485004079
validation_fold,0,ALL,ALL,2021,ineligible_censored,censored_incomplete_let,0,0,0,0,83356,0.0
validation_fold,0,ALL,ALL,2022,documented_initial_return_approach,documented_approach_after_initial_return,441,193,95,78,144535,0.0030511640779050057
validation_fold,0,ALL,ALL,2022,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,144535,0.0
validation_fold,0,ALL,ALL,2022,unknown_initial_return,missing_or_ambiguous_service_prefix,126,23,23,21,144535,0.0008717611651157159
validation_fold,0,ALL,ALL,2022,unknown_initial_return,unknown_or_invalid_initial_return_type,2691,296,130,137,144535,0.01861832774068565
validation_fold,0,ALL,ALL,2022,unknown_initial_return,ambiguous_initial_return_boundary,87654,646,220,220,144535,0.6064551838654997
validation_fold,0,ALL,ALL,2022,ineligible_censored,censored_ace,8274,643,202,209,144535,0.05724564984259868
validation_fold,0,ALL,ALL,2022,ineligible_censored,censored_unreturned_serve,4195,406,127,126,144535,0.029024111806828796
validation_fold,0,ALL,ALL,2022,ineligible_censored,censored_service_fault,37589,646,220,219,144535,0.26006849552011624
validation_fold,0,ALL,ALL,2022,ineligible_censored,censored_double_fault,3496,625,204,199,144535,0.024187912962258275
validation_fold,0,ALL,ALL,2022,ineligible_censored,censored_special_event,69,41,29,31,144535,0.0004773930189919397
validation_fold,0,ALL,ALL,2022,ineligible_censored,censored_incomplete_let,0,0,0,0,144535,0.0
validation_fold,0,ALL,ALL,2023,documented_initial_return_approach,documented_approach_after_initial_return,446,234,87,87,143312,0.0031120911019314502
validation_fold,0,ALL,ALL,2023,initial_return_approach_not_documented,no_unambiguous_immediate_approach_marker,0,0,0,0,143312,0.0
validation_fold,0,ALL,ALL,2023,unknown_initial_return,missing_or_ambiguous_service_prefix,43,18,17,15,143312,0.00030004465780953445
validation_fold,0,ALL,ALL,2023,unknown_initial_return,unknown_or_invalid_initial_return_type,1256,251,111,108,143312,0.008764095121134309
validation_fold,0,ALL,ALL,2023,unknown_initial_return,ambiguous_initial_return_boundary,87809,620,178,178,143312,0.6127121245952886
validation_fold,0,ALL,ALL,2023,ineligible_censored,censored_ace,8609,619,170,176,143312,0.0600717316065647
validation_fold,0,ALL,ALL,2023,ineligible_censored,censored_unreturned_serve,3459,385,129,136,143312,0.02413615049681813
validation_fold,0,ALL,ALL,2023,ineligible_censored,censored_service_fault,37923,620,178,178,143312,0.26461845483979013
validation_fold,0,ALL,ALL,2023,ineligible_censored,censored_double_fault,3558,605,168,166,143312,0.024826950988054035
validation_fold,0,ALL,ALL,2023,ineligible_censored,censored_special_event,209,44,31,36,143312,0.0014583565926091326
validation_fold,0,ALL,ALL,2023,ineligible_censored,censored_incomplete_let,0,0,0,0,143312,0.0
