fold,surface,rank,direction,comparison_scope,orientations,direction_share,mean_score,median_score,mean_score_gap_from_rank_1,median_score_gap_from_rank_1,observed_points,observed_server_wins,observed_win_rate
2020,<ALL>,1,wide,surface,92,0.48936170212765956,0.5332478045085207,0.5297653601349355,0.0,0.0,1239,627,0.5060532687651331
2020,<ALL>,1,body,surface,59,0.31382978723404253,0.5209847375661051,0.5220087610144972,0.0,0.0,867,402,0.46366782006920415
2020,<ALL>,1,T,surface,37,0.19680851063829788,0.528267328719152,0.5323770491803279,0.0,0.0,372,195,0.5241935483870968
2020,<ALL>,1,wide,global,14,0.56,0.5355531570427473,0.5317986882839513,0.0,0.0,164,80,0.4878048780487805
2020,<ALL>,1,body,global,5,0.2,0.5406556278661612,0.5469655110952678,0.0,0.0,80,41,0.5125
2020,<ALL>,1,T,global,6,0.24,0.5490272524084439,0.5684600199058905,0.0,0.0,52,20,0.38461538461538464
2020,<ALL>,2,wide,surface,69,0.3670212765957447,0.5045983677195746,0.5041354556803994,0.019435954398969443,0.011779276172626196,820,405,0.49390243902439024
2020,<ALL>,2,body,surface,53,0.28191489361702127,0.5102309722268846,0.5119333427481993,0.023005208543339713,0.016491341215552735,713,362,0.5077138849929874
2020,<ALL>,2,T,surface,66,0.35106382978723405,0.5073015221637035,0.505895130756683,0.021833370060407427,0.014468475604379194,565,275,0.48672566371681414
2020,<ALL>,2,wide,global,4,0.16,0.5036359790524558,0.5011628505830215,0.007323309696785241,0.007741063462192721,39,19,0.48717948717948717
2020,<ALL>,2,body,global,10,0.4,0.529580828508154,0.544814944462011,0.030510073327624183,0.022195337356544775,123,61,0.4959349593495935
2020,<ALL>,2,T,global,11,0.44,0.5126080465309637,0.4991379310344828,0.0192501061076895,0.019230153567420194,122,53,0.4344262295081967
2020,<ALL>,3,wide,surface,27,0.14361702127659576,0.47748655321326805,0.48248645102728105,0.04568464874337206,0.029972342472342484,288,148,0.5138888888888888
2020,<ALL>,3,body,surface,76,0.40425531914893614,0.48379372642813445,0.48322842706375446,0.04703747878990059,0.03856746109983175,994,485,0.4879275653923541
2020,<ALL>,3,T,surface,85,0.4521276595744681,0.482279981292189,0.48194428844209813,0.04564936746537324,0.04006261300662595,807,373,0.46220570012391576
2020,<ALL>,3,wide,global,7,0.28,0.5200544880179263,0.5185257107348143,0.044746154665574425,0.037674736841020184,82,39,0.47560975609756095
2020,<ALL>,3,body,global,10,0.4,0.4859316530495736,0.4878221155698841,0.033168216419560775,0.033157287773078775,119,58,0.48739495798319327
